,MG1655_NAND_Circuit,MG1655_empty_landing_pads
thrL,4.109580566617262,1.2278596824215868
yaaI,0.47613918968826824,5.038390902685766
rihC,5.782847574092384,1.232987876631694
caiE,0.4795785661354731,2.088637791195665
caiD,6.02749771520814,4.249281558760301
caiB,0.27647951118488345,2.5200349421695964
fixX,2.0825206300334957,0.7589725711515866
araD,3.547370306380605,3.751419859886544
araA,3.3023167547778614,3.280410969192837
araB,3.002790386195957,3.0626210302603694
thiP,8.763027692659044,0.4111155868790213
ftsL,8.938631168182113,0.2845230513788684
hofC,0.32160188091575126,3.172225349831089
gluQ,0.22765833717715003,3.2770334570810644
ligT,2.3560044353689373,0.4227324220958839
cdaR,5.651757090920699,0.8727040734879826
ykfM,0.971174935525072,4.199187570951891
yafO,0.5181980373006572,2.465923207570388
yagE,2.202960722123423,2.6362099104318513
yagF,3.457489242888786,2.260801134545387
yagL,0.6827345557056107,3.2440921452572624
ykgO,2.498141116670021,0.9159456201914281
ykgR,2.69791181338573,2.845025882725154
rclC,7.425814544207892,0.7218270608204322
ykgE,0.49021614810164804,2.3179777274671465
yahA,0.4035725135208237,3.37784833714609
yahM,3.730902254840322,0.7861465061331809
prpD,2.6600875895436147,1.6620607442146982
lacA,2.210605083940383,2.268732560804896
lacY,2.2486326430449193,2.522778205315791
lacZ,2.2440963143663413,2.4654396572140476
mhpB,0.48865161174237,2.5100261678314237
mhpE,2.654634903138363,0.6205404299492204
yaiV,7.834922725016567,2.514962783521552
phoA,4.5640237502456085,0.42304903127200094
ybaV,5.375229988659351,0.8669112956858775
amtB,3.630325179515489,1.2304892781359302
hemH,2.3114902566050812,0.28036723163900157
copA,2.749258859577683,0.2281915929233879
sfmH,10.748882197081837,0.7634147235392689
sfmZ,0.8367050109814615,2.2403022259122833
ninE,3.05884235152286,1.8309718176100944
ybcO,0.7586533868811326,4.491867733686079
quuD,0.6351704186611994,7.632208700706261
cusC,10.164762229333839,1.9118773329807677
pheP,0.19635241670723882,3.90559169590389
fepE,0.5485026564378273,2.106658788239216
dcuC,0.746003590825029,3.1873898837907197
ybeR,4.283533265160759,0.785009766313535
ybeT,2.213063109768645,0.9078869300532905
djlC,0.25503317060764613,2.139497594186446
pgm,3.352939736752112,0.21813495962400958
speF,3.848496449432189,0.33706629700548435
ybfK,3.61604479158989,1.2496017973137181
kdpA,1.6664994314673045,3.1660471295496437
kdpF,1.7240980406928559,2.012614180009648
ybfB,8.35908262872833,1.0564295507855068
nei,6.2720636312641584,0.45779911279686014
ybgD,0.8008362869126814,4.801491318799295
ybhF,2.2366879771660737,0.2800319368649386
ybiA,5.753585336935827,0.5660108976287933
ybjN,0.13640261105073603,2.083702257472483
hcr,2.03706794881505,0.43839317375850806
hcp,0.381751810779512,2.4250607966375637
ycaD,0.6307133369817779,2.5632275072522477
ycaL,0.3233491808932971,4.281480576725021
ycaI,5.030832155256512,1.1788455687665127
mukF,2.2260297356311285,0.2481180691540906
ssuE,2.120049372319465,0.5870414288155749
elfD,0.5892859734993214,4.170799838925577
elfC,0.23448930405810461,2.3175850730371033
elfG,7.131796133159197,0.9287273646395627
torA,0.312408768497283,3.8037364182748896
csgB,0.6266042210572957,6.364587666542333
opgC,2.0863070705148172,0.35095602705189494
lpxL,2.017908338345558,0.21867125763820663
flgJ,8.805072627282293,0.9698717984095545
ycfZ,0.676669546396013,2.9105658223834294
ymfA,8.367085232169096,0.8594886914382747
nudJ,0.44348307734003967,2.020902073717989
ymfD,0.8958405717548207,5.3378616918343225
xisE,0.4859785738332786,6.6739418958585315
tfaP,0.7987090174320635,3.7795066716688175
iraM,1.2070237472829464,2.6015380837956656
ycgX,0.9130165896487867,5.839815127077403
ymgJ,0.7276450788139601,4.942731171636126
hlyE,2.706306897003452,0.6507153017366336
ycgV,2.9745352490927206,0.26065247748779335
ldrC,0.40964308231485824,2.512375497579479
tdk,0.39588697561538755,5.478819238541254
yciQ,4.3137492361561645,0.3103423917222554
ymiA,2.2218310431290735,0.5429136447332453
sapF,3.5605662570614456,0.19940750382613875
ycjN,0.413117299906869,8.030016108785226
ycjS,4.407014946537544,0.47601666609681786
ompG,0.5189244007022163,5.091163760797329
ycjW,4.690562440402088,0.658395430124355
abgT,7.458589352930772,2.1145821742384374
recE,0.8768395662382681,2.2553681693836807
ydaE,1.6001021150985615,6.865811316984001
kilR,1.4502966177383532,8.422859979424357
sieB,0.8200023708201603,8.9213862449658
ydaS,2.4763121852968446,1.168097830221355
trkG,0.42377122123240496,3.6067020341142166
ompN,0.45034316297595417,2.338908234967875
paaG,3.163868764066903,0.6250852837096654
ynbG,3.6457647071865975,0.0
ynbA,0.7640734963323208,3.601567879312749
ynbD,6.089324029477347,1.3870870642578421
ydcA,3.6012229001457046,4.266708943394461
ydcN,7.073268163024748,0.2896388024588357
patD,2.94653214405809,0.469257807498555
ansP,8.0521532521323,0.25026295807116505
yncH,1.1503243007930275,10.20524421522604
ddpB,2.159422930025177,0.3457139846336575
ddpX,2.861303607362245,1.5484509971339626
dosP,6.672049982381609,0.314953318132433
ydeM,10.795277640325835,2.3024616933077944
ydeN,2.0542518180149476,0.4642164681437846
safA,9.216993933146371,1.7890186717943255
eamA,4.733092259739458,0.4691984580215798
ydeE,5.445229438657803,0.33754866752971274
ynfN,1.671518114594749,7.060338820713861
ydfU,0.6127728862403874,7.070551749130529
dicB,1.3906829466049921,6.208546452290362
mdtJ,1.3782199018178465,4.03246770784952
uidB,0.7908873778400441,3.560971644330603
rsxE,0.3849817354805067,2.6261708466566818
ydhJ,2.1684312453221937,0.2965316933592101
ydhB,0.19763891932482533,2.2529995957758073
ydiM,0.6285001073055969,2.468686341543769
ydiF,10.515825490794626,0.6371969856687484
ydiO,0.4816993798136775,2.75415028547701
ydiQ,0.33615849913513973,3.627694716744495
ydiS,0.32034115714630984,2.0475827836013245
fadK,2.861272499049954,0.440392250763253
pheT,2.015651477803766,0.12887206505792645
yniD,10.476625762028243,0.8668925212475097
ynjH,2.7648340309135446,0.277445594581015
ynjI,0.5649353170912063,3.2342898560669378
ydjI,0.7706490777131053,4.274925745034746
ydjJ,0.6907091005380768,9.046313885767766
ydjL,0.9147310426249432,3.128042266436859
yeaI,3.320665842175132,6.540863897453732
yoaG,3.28106493652574,3.3627491177654267
yeaR,3.5956668309593867,3.4672411832987065
leuE,1.8439391022043008,5.495441742426555
yeaV,8.93923825806356,0.8171105689077688
pabB,0.3365447698605667,2.499924164207654
yobD,0.33412151895760445,3.2972824150909332
yobI,2.22786615417931,2.6135310535996505
cheR,3.366563977841807,0.4929824530021637
tar,0.4575548107024455,2.940289336188933
motB,0.6483960700085031,3.420520520549132
motA,0.706877458298262,3.861236916970037
araH,3.0993603806278847,3.097803944564682
araG,3.131371229931298,3.0663626674410875
araF,3.2113441615743796,2.968020215476979
fliO,0.57877721420045,3.9246919626166656
yedV,0.5385238397758236,2.7313218922458486
yodB,0.3391015818050806,5.332601613470598
dacD,6.684229886066338,4.106617021707211
