Temp(0to1),time(0to1),B/A(0to1),T,t,B/A,mz189,mz278,mz375,mz410,mz430,mz494,mz524,Yield 494/430
0,0,0,20,14,12.195,0,4213000,-833100,-55080000,1534000000,533000000,-29850000,0.257861635
0,0.1,0,20,18.6,12.195,0,4249220,-712957,-30792000,1461004000,593398000,-13142000,0.288842203
0,0.2,0,20,23.2,12.195,0,4310820,-611928,-10188000,1399556000,646152000,702000,0.315857395
0,0.3,0,20,27.8,12.195,0,4397800,-530013,6732000,1349656000,691262000,11682000,0.338701506
0,0.4,0,20,32.4,12.195,0,4510160,-467212,19968000,1311304000,728728000,19798000,0.357214004
0,0.5,0,20,37,12.195,0,4647900,-423525,29520000,1284500000,758550000,25050000,0.371283131
0,0.6,0,20,41.6,12.195,0,4811020,-398952,35388000,1269244000,780728000,27438000,0.380848129
0,0.7,0,20,46.2,12.195,0,4999520,-393493,37572000,1265536000,795262000,26962000,0.385900025
0,0.8,0,20,50.8,12.195,0,5213400,-407148,36072000,1273376000,802152000,23622000,0.386480934
0,0.9,0,20,55.4,12.195,0,5452660,-439917,30888000,1292764000,801398000,17418000,0.382681951
0,1,0,20,60,12.195,0,5717300,-491800,22020000,1323700000,793000000,8350000,0.374639769
0.1,0,0,33,14,12.195,0,5402000,-358300,48440000,1176640000,820200000,-1270000,0.410748983
0.1,0.1,0,33,18.6,12.195,0,5406430,-239745,73634400,1102731100,876617000,15410690,0.442881674
0.1,0.2,0,33,23.2,12.195,0,5436240,-140304,95144800,1040370200,925390000,29227380,0.470754266
0.1,0.3,0,33,27.8,12.195,0,5491430,-59977,112971200,989557300,966519000,40180070,0.494111094
0.1,0.4,0,33,32.4,12.195,0,5572000,1236,127113600,950292400,1000004000,48268760,0.512744627
0.1,0.5,0,33,37,12.195,0,5677950,43335,137572000,922575500,1025845000,53493450,0.526500825
0.1,0.6,0,33,41.6,12.195,0,5809280,66320,144346400,906406600,1044042000,55854140,0.535283011
0.1,0.7,0,33,46.2,12.195,0,5965990,70191,147436800,901785700,1054595000,55350830,0.539054081
0.1,0.8,0,33,50.8,12.195,0,6148080,54948,146843200,908712800,1057504000,51983520,0.537836926
0.1,0.9,0,33,55.4,12.195,0,6355550,20591,142565600,927187900,1052769000,45752210,0.531713089
0.1,1,0,33,60,12.195,0,6588400,-32880,134604000,957211000,1040390000,36656900,0.520819723
0.2,0,0,46,14,12.195,0,6655000,144100,137400000,878760000,1062800000,30230000,0.547394878
0.2,0.1,0,46,18.6,12.195,0,6627640,261067,163500800,803938200,1115236000,46883380,0.581102018
0.2,0.2,0,46,23.2,12.195,0,6625660,358920,185917600,740664400,1160028000,60672760,0.61031864
0.2,0.3,0,46,27.8,12.195,0,6649060,437659,204650400,688938600,1197176000,71598140,0.634731315
0.2,0.4,0,46,32.4,12.195,0,6697840,497284,219699200,648760800,1226680000,79659520,0.654075565
0.2,0.5,0,46,37,12.195,0,6772000,537795,231064000,620131000,1248540000,84856900,0.668143295
0.2,0.6,0,46,41.6,12.195,0,6871540,559192,238744800,603049200,1262756000,87190280,0.676788767
0.2,0.7,0,46,46.2,12.195,0,6996460,561475,242741600,597515400,1269328000,86659660,0.679932768
0.2,0.8,0,46,50.8,12.195,0,7146760,544644,243054400,603529600,1268256000,83265040,0.677564781
0.2,0.9,0,46,55.4,12.195,0,7322440,508699,239683200,621091800,1259540000,77006420,0.669743009
0.2,1,0,46,60,12.195,0,7523500,453640,232628000,650202000,1243180000,67883800,0.656592278
0.3,0,0,59,14,12.195,0,7972000,674100,211800000,640360000,1260800000,64650000,0.663174062
0.3,0.1,0,59,18.6,12.195,0,7912850,789479,238807200,564625300,1309255000,81276070,0.69868657
0.3,0.2,0,59,23.2,12.195,0,7879080,885744,262130400,500438600,1350066000,95038140,0.729566411
0.3,0.3,0,59,27.8,12.195,0,7870690,962895,281769600,447799900,1383233000,105936210,0.755438638
0.3,0.4,0,59,32.4,12.195,0,7887680,1020932,297724800,406709200,1408756000,113970280,0.775975216
