Time(hr),mz284,mz306,mz314_pk1,mz314_pk2,mz352,mz384,mz406,mz577
1.43333,5.21E+08,663000,2.69E+06,6.28E+06,1.24E+08,1.68E+09,8.91E+06,1.48E+08
1.49167,5.14E+08,548000,2.56E+06,6.33E+06,1.27E+08,1.67E+09,6.63E+06,9.04E+07
1.55,5.18E+08,302000,2.57E+06,6.25E+06,1.28E+08,1.68E+09,1.95E+07,0
1.60833,5.30E+08,-561000,2.81E+06,6.98E+06,1.33E+08,1.70E+09,1.02E+07,1.48E+08
1.66667,5.60E+08,893000,2.97E+06,7.17E+06,1.34E+08,1.74E+09,8.08E+06,1.34E+06
1.725,5.38E+08,603000,2.69E+06,6.54E+06,1.32E+08,1.66E+09,1.10E+07,1.05E+08
1.78333,5.59E+08,3.02E+05,2.77E+06,7.07E+06,1.32E+08,1.69E+09,1.06E+07,7.52E+06
1.84167,5.51E+08,232000,2.87E+06,7.00E+06,1.34E+08,1.70E+09,9.79E+06,1.42E+08
1.9,5.37E+08,698000,2.72E+06,6.49E+06,1.35E+08,1.81E+09,1.35E+07,5.95E+07
1.95833,5.32E+08,3.75E+05,2.73E+06,6.39E+06,1.40E+08,1.67E+09,1.39E+07,1.45E+08
