Time (hr),MX03 (uL/min),MX04 (uL/min)
4.00001,70.77299,59.91802
4.00003,70.71119,59.94875
4.00004,70.64222,59.99074
4.00006,70.56916,60.10307
4.00008,70.46537,60.13994
4.00011,70.33222,60.32431
4.00012,70.18302,60.45575
4.00014,70.03622,60.54486
4.00016,69.87472,60.70396
4.00018,69.71084,60.77873
4.00019,69.5357,60.98153
4.00021,69.34655,61.18126
4.00023,69.14444,61.26593
4.00026,68.91432,61.4701
4.00027,68.68933,61.60905
4.00029,68.42678,61.87843
4.00031,68.15502,62.16727
4.00033,67.86243,62.30248
4.00035,67.54047,62.54044
4.00036,67.23558,62.71729
4.00039,66.90339,62.97403
4.00041,66.5787,63.30521
4.00043,66.21475,63.45714
4.00044,65.81086,63.73745
4.00046,65.43531,63.97747
4.00048,65.03619,64.27688
4.0005,64.65347,64.6678
4.00051,64.22772,64.87334
4.00054,63.77705,65.17823
4.00056,63.35028,65.45546
4.00058,62.89142,65.73542
4.00059,62.45884,66.14341
4.00061,61.97369,66.3742
4.00063,61.4923,66.70538
4.00065,61.03037,67.03757
4.00067,60.55067,67.35064
4.00069,60.0843,67.80917
4.00071,59.56604,68.10585
4.00073,59.05734,68.45272
4.00075,58.55615,68.81769
4.00076,58.12699,69.11541
4.00078,58.2656,69.57665
4.0008,57.89142,69.91363
4.00083,59.33251,70.27587
4.00084,60.93989,70.69
4.00086,61.22497,71.02391
4.00088,61.09728,71.52408
4.0009,60.7801,71.94265
4.00091,60.46463,72.31377
4.00093,60.15395,72.7484
4.00096,59.87467,73.08571
4.00098,59.54316,73.57633
4.00099,59.22154,74.03792
4.00101,58.80127,74.41894
4.00103,58.14199,74.88599
4.00105,57.63294,75.26837
4.00106,57.21642,75.7904
4.00108,56.83745,76.11508
4.00111,56.51173,75.64256
4.00113,56.18773,76.26872
4.00115,55.94123,71.17313
4.00116,55.66844,70.25712
4.00118,55.40691,70.99764
4.0012,55.16246,71.2619
4.00122,54.92278,71.54801
4.00123,54.75378,71.72931
4.00126,54.53733,71.85836
4.00128,54.33487,72.20387
4.0013,54.14437,72.3261
4.00131,53.96103,72.51081
4.00133,53.84325,72.65421
4.00135,53.65923,72.69518
4.00137,53.51311,72.98504
4.00139,53.3704,73.05503
4.00141,53.25022,73.17759
4.00143,53.18228,73.29913
4.00145,53.04298,73.2841
4.00146,52.94465,73.51524
4.00148,52.82994,73.57396
4.0015,52.76507,73.6419
4.00152,52.7183,73.74945
4.00154,52.62407,73.67843
4.00156,52.55954,73.83855
4.00158,52.48887,73.86724
