,System Pressure,,"Pump Pressure, ",,Reactor Temperature
Time(hr),PT1 (PSIA),PT2(PSIA),MX03 (PSI),MX04 (PSI,R10 (degC)
1.43,13.37455,60.10423,92,52,121.96873
1.43028,13.41849,60.10796,92,52,121.89716
1.43055,13.50951,60.11718,92,52,121.86094
1.43083,13.57088,60.11724,92,52,121.89821
1.43111,13.6089,60.11345,92,52,121.83877
1.43139,13.61239,60.10858,92,52,121.87856
1.43167,13.56917,60.0994,92,52,121.85903
1.43194,13.50926,60.08778,92,52,121.88184
1.43222,13.44358,60.07693,94,56,121.89105
1.4325,13.38821,60.06677,94,56,121.78056
1.43278,13.34241,60.06308,94,56,121.80052
1.43305,13.34844,60.07359,94,56,121.75237
1.43333,13.40893,60.08033,94,56,121.65706
1.43361,13.48223,60.08936,94,56,121.80387
1.43389,13.55944,60.08414,94,56,121.59587
1.43417,13.59085,60.06614,94,56,121.48686
1.43444,13.57516,60.0516,94,57,121.43036
1.43472,13.53614,60.03697,94,57,121.29952
1.435,13.4819,60.02946,94,57,121.25826
1.43528,13.43947,60.02949,94,57,121.28194
1.43555,13.39047,60.02946,94,57,121.22166
1.43583,13.38245,60.02941,94,57,120.98222
1.43611,13.392,60.03596,94,57,120.8963
1.43639,13.4337,60.04342,94,57,120.8045
1.43667,13.50549,60.05915,95,54,120.862
1.43694,13.57234,60.07709,95,54,120.83812
1.43722,13.60568,60.08555,95,54,120.88988
1.4375,13.59525,60.07811,95,54,120.82887
1.43778,13.55645,60.06763,95,54,120.76933
1.43805,13.50081,60.04933,95,54,120.66683
1.43833,13.43622,60.03325,95,54,120.58708
1.43861,13.40716,60.03525,95,54,120.58708
1.43889,13.41098,60.03924,94,46,120.58175
1.43917,13.45127,60.05474,94,46,120.57623
1.43944,13.53116,60.06887,94,46,120.56702
1.43972,13.59931,60.07424,94,46,120.55477
1.44,13.63926,60.07068,94,46,120.54033
1.44028,13.55023,60.03818,94,46,120.5247
1.44055,13.29928,59.97856,94,46,120.49801
1.44083,13.30442,60.00411,94,46,120.47396
1.44111,13.23858,59.99845,94,49,120.44863
1.44139,13.00417,59.99532,94,49,120.41646
1.44167,13.39216,60.0883,94,49,120.3812
1.44194,13.66462,60.10042,94,49,120.33817
1.44222,13.9147,60.11721,94,49,120.29635
1.4425,14.20813,60.12022,94,49,120.007
1.44278,14.29168,60.11917,94,49,120.00328
1.44305,14.26084,60.10123,94,49,120.11367
1.44333,13.88318,60.05791,93,58,120.10846
1.44361,13.72299,60.05032,93,58,120.17287
1.44389,13.42951,60.01139,93,58,120.38867
1.44417,13.11235,59.98553,93,58,120.3942
1.44444,13.14215,60.00842,93,58,120.65749
1.44472,13.31919,60.06121,93,58,120.87865
1.445,13.36635,60.07756,93,58,121.02693
1.44528,13.45292,60.09965,93,58,121.19971
1.44555,13.51662,60.10785,100,54,121.18453
1.44583,13.54761,60.10789,100,54,121.35107
1.44611,13.57309,60.10791,100,54,121.46694
1.44639,13.52932,60.10041,100,54,121.50694
1.44667,13.48381,60.09293,100,54,121.62627
1.44694,13.42892,60.09293,100,54,121.74508
1.44722,13.37656,60.08921,100,54,121.8209
1.4475,13.34028,60.09128,100,54,121.84419
1.44778,13.36118,60.10042,92,54,121.95798
1.44805,13.42093,60.10679,92,54,122.00896
1.44833,13.47639,60.11425,92,54,122.00663
1.44861,13.58761,60.12145,92,54,122.03607
1.44889,13.64417,60.12076,92,54,122.00571
1.44917,13.62311,60.1146,92,54,121.92757
1.44944,13.57798,60.11165,92,54,121.97282
1.44972,13.50598,60.10417,92,54,122.00724
1.45,13.43577,60.10046,87,55,122.00623
1.45028,13.41827,60.10048,87,55,121.99927
1.45055,13.44017,60.11124,87,55,122.00346
1.45083,13.48033,60.12021,87,55,121.87663
1.45111,13.54439,60.1374,87,55,121.80896
1.45139,13.56777,60.14059,87,55,121.77838
1.45167,13.58338,60.14107,87,55,121.72669
1.45194,13.58431,60.14107,87,55,121.66514
1.45222,13.54891,60.13322,77,55,121.59135
1.4525,13.52839,60.13036,77,55,121.44257
1.45278,13.46786,60.11914,77,55,121.42745
1.45305,13.42773,60.11315,77,55,121.39248
1.45333,13.40406,60.11016,77,55,121.32534
1.45361,13.37491,60.10905,77,55,121.32424
1.45389,13.43769,60.12699,77,55,121.2759
1.45417,13.47902,60.14535,77,55,121.28745
1.45444,13.54419,60.16025,111,55,121.22026
1.45472,13.6016,60.17076,111,55,121.22099
1.455,13.59091,60.17149,111,55,121.21761
1.45528,13.54402,60.15533,111,55,121.09985
1.45555,13.48748,60.15011,111,55,121.05817
1.45583,13.4366,60.1463,111,55,120.97815
1.45611,13.40671,60.14254,111,55,120.9032
1.45639,13.42484,60.15641,111,55,120.77423
1.45667,13.46835,60.1677,95,53,120.73948
1.45694,13.55124,60.18277,95,53,120.78896
1.45722,13.61218,60.1865,95,53,120.62795
1.4575,13.66164,60.19025,95,53,120.57558
1.45778,13.6834,60.19018,95,53,120.57271
1.45805,13.63968,60.18635,95,53,120.57271
1.45833,13.54333,60.19485,95,53,120.56726
1.45861,13.58462,60.20839,95,53,120.55286
1.45889,13.38281,60.18214,92,49,120.5387
1.45917,13.24039,60.16853,92,49,120.52236
1.45944,13.27574,60.1615,92,49,120.50679
1.45972,13.23332,60.15218,92,49,120.4897
1.46,13.46702,60.20424,92,49,120.47058
1.46028,13.99136,60.27969,92,49,120.44507
1.46055,14.34246,60.34287,92,49,120.41587
1.46083,14.3354,60.36922,92,49,120.38594
1.46111,13.95928,60.30837,93,22,120.35713
1.46139,13.4575,60.23298,93,22,120.14999
1.46167,12.87991,60.14724,93,22,120.1459
1.46194,12.6146,60.07499,93,22,120.13949
1.46222,12.5884,60.07365,93,22,120.21625
1.4625,12.70313,60.10316,93,22,120.2573
1.46278,12.96092,60.13278,93,22,120.49381
1.46305,13.17994,60.18287,93,22,120.51273
1.46333,13.51876,60.23552,91,59,120.62644
1.46361,13.63291,60.25063,91,59,120.68321
1.46389,13.61842,60.25436,91,59,120.80138
1.46417,13.59856,60.25435,91,59,120.9455
1.46444,13.55681,60.25433,91,59,121.10525
1.46472,13.51761,60.25055,91,59,121.15586
1.465,13.46219,60.24499,91,59,121.28147
1.46528,13.42054,60.23747,91,59,121.38017
1.46555,13.41316,60.23061,94,63,121.37911
1.46583,13.43878,60.23443,94,63,121.54692
1.46611,13.49297,60.24369,94,63,121.63454
1.46639,13.5556,60.26093,94,63,121.53465
1.46667,13.61263,60.2803,94,63,121.58124
1.46694,13.632,60.29862,94,63,121.66036
1.46722,13.61991,60.3128,94,63,121.56696
1.4675,13.58183,60.31922,94,63,121.68376
1.46778,13.53139,60.3254,97,54,121.78201
1.46805,13.48017,60.31416,97,54,121.61345
1.46833,13.44042,60.30674,97,54,121.66964
1.46861,13.44875,60.30863,97,54,121.62402
1.46889,13.464,60.30864,97,54,121.61965
1.46917,13.51365,60.31795,97,54,121.62404
1.46944,13.56387,60.32879,97,54,121.57424
1.46972,13.61076,60.34428,97,54,121.55782
1.47,13.65532,60.36263,95,55,121.37608
1.47028,13.62576,60.36941,95,55,121.39565
1.47055,13.59173,60.38029,95,55,121.40569
1.47083,13.52822,60.37718,95,55,121.3242
1.47111,13.43059,60.3595,95,55,121.34045
1.47139,13.40342,60.35387,95,55,121.29763
1.47167,13.40847,60.35652,95,55,121.16885
1.47194,13.44511,60.36043,95,55,121.21736
1.47222,13.50313,60.37621,94,55,121.12944
1.4725,13.5482,60.39413,94,55,120.99519
1.47278,13.59519,60.40034,94,55,121.01161
1.47305,13.6068,60.40407,94,55,120.88355
1.47333,13.58969,60.40409,94,55,120.81327
1.47361,13.58766,60.40794,94,55,120.87179
1.47389,13.53297,60.40528,94,55,120.72572
1.47417,13.45866,60.40416,94,55,120.73879
1.47444,13.43631,60.40414,94,56,120.7321
1.47472,13.40497,60.40034,94,56,120.65308
1.475,13.43212,60.40069,94,56,120.64777
1.47528,13.51312,60.4041,94,56,120.64101
1.47555,13.60736,60.41171,94,56,120.63686
1.47583,13.6736,60.43004,94,56,120.62708
1.47611,13.68701,60.44312,94,56,120.61559
1.47639,13.66647,60.4511,94,56,120.59898
1.47667,13.51263,60.42389,95,55,120.57739
1.47694,13.73436,60.4395,95,55,120.55475
1.47722,13.96846,60.49376,95,55,120.52461
1.4775,13.86546,60.53375,95,55,120.49855
1.47778,13.82537,60.57838,95,55,120.4727
1.47805,13.46474,60.53647,95,55,120.36729
1.47833,13.06289,60.45982,95,55,120.14811
1.47861,13.10445,60.42897,95,55,120.15054
1.47889,13.18801,60.43942,93,57,120.14636
