Time(hr),MX05,,Time(hr),MX06
0.2,64.8617,,0.20001,135.75119
0.20002,65.08275,,0.20003,135.21005
0.20003,65.32683,,0.20005,134.59824
0.20005,65.58352,,0.20006,133.93044
0.20007,65.86273,,0.20009,133.19332
0.2001,66.15705,,0.20011,132.45586
0.20011,66.46772,,0.20013,131.59516
0.20013,66.7998,,0.20014,131.15474
0.20015,67.14769,,0.20016,131.71705
0.20017,67.51315,,0.20018,131.82083
0.20018,67.85434,,0.20021,131.6993
0.2002,68.23634,,0.20022,131.46543
0.20022,68.4678,,0.20024,131.18581
0.20025,68.40147,,0.20026,130.88025
0.20026,68.38644,,0.20028,130.57707
0.20028,68.40217,,0.20031,130.28652
0.2003,68.43114,,0.20032,130.01032
0.20032,68.45985,,0.20034,129.75836
0.20034,68.48669,,0.20036,129.51938
0.20035,68.50033,,0.20038,129.32067
0.20037,68.49787,,0.20039,129.1725
0.2004,68.48082,,0.20042,129.03321
0.20042,68.43557,,0.20044,128.94854
0.20043,68.3662,,0.20046,128.90757
0.20045,68.2724,,0.20047,128.90724
0.20047,68.14423,,0.20049,128.95059
0.20049,67.98871,,0.20051,129.04073
0.2005,67.79821,,0.20054,129.16638
0.20053,67.57573,,0.20055,129.35246
0.20055,67.32117,,0.20057,129.5655
0.20057,67.02484,,0.20059,129.81165
0.20058,66.69378,,0.20061,130.09469
0.2006,66.33507,,0.20063,130.40026
0.20062,65.97534,,0.20065,130.74884
0.20064,65.54369,,0.20067,131.12543
0.20066,65.34365,,0.20069,131.54742
0.20067,65.31641,,0.2007,132.02028
0.2007,65.23159,,0.20072,132.52284
0.20072,65.11136,,0.20075,133.04998
0.20073,64.96819,,0.20077,133.62697
0.20075,64.81718,,0.20078,134.23538
0.20077,64.65612,,0.2008,134.89602
0.20079,64.49712,,0.20082,135.58362
0.20081,64.34357,,0.20085,136.29445
0.20083,64.19465,,0.20086,137.03531
0.20085,64.06129,,0.20088,137.73076
0.20087,63.93936,,0.2009,138.52591
0.20089,63.83122,,0.20092,138.47641
0.2009,63.74273,,0.20094,137.76798
0.20092,63.6801,,0.20096,137.51772
0.20094,63.64365,,0.20098,137.445
0.20096,63.63173,,0.201,137.45592
0.20097,63.63944,,0.20102,137.48596
0.201,63.67714,,0.20103,137.49586
0.20102,63.73248,,0.20106,137.47264
0.20104,63.80614,,0.20108,137.40402
0.20105,63.90302,,0.2011,137.28384
0.20107,64.01651,,0.20111,137.10391
0.20109,64.15106,,0.20113,136.85639
0.20111,64.3035,,0.20115,136.5341
0.20113,64.47181,,0.20118,136.14113
0.20115,64.66349,,0.20119,135.67544
0.20117,64.87272,,0.20121,135.13737
0.20119,65.09605,,0.20123,134.52521
0.20121,65.34244,,0.20125,133.84169
0.20122,65.60324,,0.20127,133.09365
0.20124,65.882,,0.20129,132.35142
0.20126,66.17991,,0.20131,131.48935
0.20128,66.49297,,0.20133,130.85124
0.2013,66.82861,,0.20134,131.30634
0.20132,67.18131,,0.20136,131.36848
0.20134,67.54474,,0.20139,131.22952
0.20136,67.8886,,0.20141,131.00147
0.20137,68.28219,,0.20142,130.73107
0.20139,68.4717,,0.20144,130.44086
0.20141,68.41475,,0.20146,130.15544
0.20144,68.40526,,0.20149,129.85977
0.20145,68.42121,,0.2015,129.57879
0.20147,68.44981,,0.20152,129.32308
0.20149,68.47482,,0.20154,129.08102
0.20151,68.49815,,0.20156,128.87925
0.20153,68.50934,,0.20158,128.72527
0.20154,68.50456,,0.2016,128.59144
0.20156,68.48154,,0.20162,128.5112
0.20158,68.43053,,0.20164,128.46954
0.20161,68.35735,,0.20166,128.47671
0.20162,68.2587,,0.20167,128.53167
0.20164,68.12626,,0.20169,128.60713
0.20166,67.96252,,0.20172,128.71946
0.20168,67.76982,,0.20174,128.88436
0.20169,67.54276,,0.20175,129.07897
0.20171,67.28325,,0.20177,129.32513
0.20174,66.97862,,0.20179,129.58869
0.20176,66.6421,,0.20181,129.87343
0.20177,66.28775,,0.20183,130.20425
0.20179,65.91877,,0.20185,130.56888
0.20181,65.47998,,0.20187,130.97277
0.20183,65.3303,,0.20189,131.43607
0.20185,65.29989,,0.2019,131.93897
0.20186,65.2107,,0.20193,132.49274
0.20189,65.08862,,0.20195,133.08987
0.20191,64.94144,,0.20197,133.71602
0.20192,64.79017,,0.20198,134.38416
0.20194,64.62626,,0.202,135.06392
0.20196,64.46729,,0.20202,135.77371
0.20198,64.3129,,0.20205,136.52142
0.202,64.16566,,0.20206,137.2138
0.20201,64.03167,,0.20208,137.99735
0.20204,63.91103,,0.2021,138.32885
0.20206,63.80509,,0.20212,137.60847
0.20208,63.72009,,0.20214,137.3309
0.20209,63.65335,,0.20216,137.23223
0.20211,63.6129,,0.20218,137.21584
0.20213,63.60157,,0.2022,137.23086
0.20215,63.61268,,0.20222,137.22848
0.20216,63.65229,,0.20223,137.20321
0.20218,63.70901,,0.20226,137.13493
0.20221,63.78392,,0.20228,137.01237
0.20223,63.88447,,0.2023,136.83347
0.20224,64.00016,,0.20231,136.59618
0.20226,64.13401,,0.20233,136.28925
0.20228,64.29261,,0.20236,135.90754
0.2023,64.46225,,0.20238,135.47053
0.20232,64.65627,,0.20239,134.96149
0.20234,64.86393,,0.20241,134.37016
0.20236,65.0875,,0.20243,133.70884
0.20238,65.33485,,0.20245,132.97651
0.2024,65.5984,,0.20247,132.24759
0.20241,65.8772,,0.20249,131.39986
0.20243,66.17466,,0.20251,130.68766
0.20245,66.48753,,0.20253,131.31723
0.20247,66.82295,,0.20254,131.46131
0.20249,67.17586,,0.20256,131.37015
0.20251,67.53736,,0.20259,131.16803
0.20253,67.8847,,0.20261,130.90514
0.20255,68.28972,,0.20262,130.63268
0.20256,68.43757,,0.20264,130.35101
0.20258,68.39221,,0.20266,130.0608
0.2026,68.38935,,0.20269,129.78323
0.20262,68.40915,,0.2027,129.5439
0.20264,68.43945,,0.20272,129.30901
0.20266,68.46185,,0.20274,129.11304
0.20268,68.48595,,0.20276,128.96316
0.2027,68.4975,,0.20278,128.8423
0.20272,68.49087,,0.2028,128.77572
0.20273,68.46425,,0.20282,128.73612
0.20275,68.41408,,0.20284,128.7351
0.20277,68.33843,,0.20286,128.79007
0.2028,68.23836,,0.20287,128.87986
0.20281,68.10282,,0.2029,129.01199
0.20283,67.9396,,0.20292,129.18031
0.20285,67.74697,,0.20294,129.37799
0.20287,67.51617,,0.20295,129.60606
0.20288,67.25364,,0.20297,129.86349
0.2029,66.94833,,0.20299,130.15095
0.20292,66.60978,,0.20302,130.49032
0.20295,66.25951,,0.20303,130.85256
0.20296,65.88371,,0.20305,131.26397
0.20298,65.44422,,0.20307,131.7283
0.203,65.33817,,0.20309,132.2295
0.20302,65.29439,,0.2031,132.78907
0.20303,65.19977,,0.20313,133.38041
0.20305,65.07392,,0.20315,134.00725
0.20307,64.92886,,0.20317,134.67642
0.2031,64.77781,,0.20318,135.37153
0.20311,64.6151,,0.2032,136.09397
0.20313,64.45455,,0.20323,136.85054
0.20315,64.30289,,0.20325,137.55556
0.20317,64.15606,,0.20326,138.3555
0.20319,64.02126,,0.20328,138.88196
0.2032,63.89919,,0.2033,138.28278
0.20322,63.79489,,0.20332,138.04448
0.20325,63.71092,,0.20334,137.96014
0.20327,63.6426,,0.20336,137.94444
0.20328,63.59654,,0.20338,137.95024
0.2033,63.58458,,0.2034,137.95468
0.20332,63.60072,,0.20342,137.92669
0.20334,63.6408,,0.20344,137.8625
0.20335,63.70299,,0.20346,137.74643
0.20337,63.78132,,0.20348,137.57333
0.2034,63.887,,0.2035,137.3415
0.20342,64.0064,,0.20351,137.04345
