,System Pressure,,Pump Pressure,,Reactor Temperature
Time(hr),R1,R2,MX5,MX6,R7 ©
1,11.56769,96.97162,122,145,75.60789
1.00028,9.7385,98.4147,122,145,75.59281
1.00056,8.58628,100.14005,122,145,75.5872
1.00083,8.42681,101.71275,122,145,75.56952
1.00111,9.37068,102.45523,122,145,75.56152
1.00139,11.30667,102.48241,122,145,75.53826
1.00167,13.53715,101.5825,122,145,75.50992
1.00194,15.14831,99.96355,122,145,75.47086
1.00222,16.28944,98.22662,128,143,75.41727
1.0025,15.89346,96.68001,128,143,75.42122
1.00278,14.44248,95.65353,128,143,75.45708
1.00306,12.43541,95.31611,128,143,75.45374
1.00333,10.30166,95.91546,128,143,75.45069
1.00361,8.5953,97.21012,128,143,75.43192
1.00389,8.44826,99.09219,128,143,75.42715
1.00417,9.1978,100.96465,128,143,75.43363
1.00444,10.53727,102.4155,127,143,75.42918
1.00472,12.83179,102.71507,127,143,75.4145
1.005,14.61983,102.40428,127,143,75.47562
1.00528,15.77027,101.16978,127,143,75.47304
1.00556,16.13445,99.53757,127,143,75.45177
1.00583,15.47673,97.86365,127,143,75.4471
1.00611,13.75154,96.40192,127,143,75.42334
1.00639,11.64404,95.36614,127,143,75.39159
1.00667,9.97054,95.35512,127,145,75.37706
1.00694,8.59377,95.92817,127,145,75.36781
1.00722,8.21124,97.16412,127,145,75.36375
1.0075,9.3536,98.84675,127,145,75.33869
1.00778,10.86168,100.65538,127,145,75.34351
1.00806,13.03031,102.094,127,145,75.33939
1.00833,15.06723,102.75434,127,145,75.32215
1.00861,16.17573,102.66508,127,145,75.31618
1.00889,16.07885,101.3383,124,142,75.33166
1.00917,15.12822,99.46719,124,142,75.32865
1.00944,13.48416,97.81982,124,142,75.3615
1.00972,11.57461,96.09963,124,142,75.39669
1.01,9.64383,94.97701,124,142,75.40771
1.01028,8.90218,95.09754,124,142,75.51163
1.01056,8.45636,95.37457,124,142,75.50909
1.01083,9.07385,96.48204,124,142,75.50964
1.01111,10.9105,98.22013,127,137,75.50645
1.01139,12.85507,99.97379,127,137,75.49391
1.01167,14.51858,101.16935,127,137,75.54374
1.01194,15.73271,101.93503,127,137,75.54034
1.01222,15.52062,101.48473,127,137,75.59888
1.0125,14.28026,100.36769,127,137,75.59386
1.01278,12.45185,98.78449,127,137,75.60413
1.01306,10.55933,97.18716,127,137,75.68942
1.01333,8.84318,95.64739,125,142,75.68462
1.01361,8.21044,94.94679,125,142,75.6508
1.01389,8.72185,95.01675,125,142,75.6448
1.01417,10.1778,95.83673,125,142,75.6448
1.01444,12.38003,97.46582,125,142,75.65589
1.01472,14.45558,99.19701,125,142,75.65022
1.015,15.71651,100.73704,125,142,75.70035
1.01528,16.1106,101.94867,125,142,75.69509
1.01556,15.33449,102.25533,113,146,75.77116
1.01583,13.396,101.31003,113,146,75.67992
1.01611,11.25788,99.94463,113,146,75.67386
1.01639,9.11216,97.752,113,146,75.64062
1.01667,7.77138,95.73193,113,146,75.60912
1.01694,7.90117,94.65815,113,146,75.91975
1.01722,9.25986,94.52165,113,146,75.71813
1.0175,11.26363,95.03169,113,146,75.68566
1.01778,13.49768,96.57487,131,141,75.68726
1.01806,15.13194,98.30616,131,141,75.62963
1.01833,15.5161,99.85769,131,141,75.62297
1.01861,14.86885,101.10487,131,141,75.63319
1.01889,13.31932,101.80932,131,141,75.62712
1.01917,11.11782,101.13403,131,141,75.66117
1.01944,9.35762,100.07473,131,141,75.63594
1.01972,8.17051,98.52976,131,141,75.79602
1.02,8.2672,96.81065,125,150,75.63925
1.02028,9.39508,95.33367,125,150,75.75696
1.02056,11.38647,94.85683,125,150,75.62048
1.02083,13.66161,95.32398,125,150,75.61516
1.02111,15.71924,96.3723,125,150,75.67875
1.02139,16.41919,98.55989,125,150,75.68825
1.02167,16.23151,100.64253,125,150,75.7214
1.02194,14.64691,102.01382,125,150,75.59668
1.02222,12.30798,102.78039,129,144,75.59055
1.0225,9.94638,102.73115,129,144,75.58057
1.02278,8.51042,101.64174,129,144,75.57542
1.02306,7.87078,100.10177,129,144,75.53439
1.02333,8.58585,98.40891,129,144,75.52943
1.02361,10.28867,96.6912,129,144,75.54919
1.02389,12.44796,95.31101,129,144,75.58057
1.02417,14.30463,95.42634,129,144,75.57686
1.02444,15.69188,95.99562,122,147,75.48865
1.02472,15.82532,97.39246,122,147,75.4837
1.025,14.5781,99.11949,122,147,75.46468
1.02528,12.75266,100.74487,122,147,75.45969
1.02556,10.56139,101.90326,122,147,75.43555
1.02583,8.68929,102.44468,122,147,75.4226
1.02611,8.04639,102.14481,122,147,75.40018
1.02639,8.42096,100.8688,122,147,75.29212
1.02667,9.92855,99.08433,136,145,75.30113
1.02694,11.99898,97.38223,136,145,75.32594
1.02722,14.39798,95.66578,136,145,75.39809
1.0275,15.91801,95.14199,136,145,75.414
1.02778,16.06792,95.63046,136,145,75.39229
1.02806,15.35899,96.81574,136,145,75.38813
1.02833,13.21253,98.82446,136,145,75.36758
1.02861,10.779,100.84554,136,145,75.34261
1.02889,9.1663,102.01947,130,143,75.30997
1.02917,8.21166,102.57836,130,143,75.2928
1.02944,8.57987,102.12115,130,143,75.29927
1.02972,10.22763,100.61658,130,143,75.45996
1.03,12.34076,98.77247,130,143,75.45632
1.03028,14.39518,97.02071,130,143,75.41587
1.03056,15.71241,95.7037,130,143,75.40702
1.03083,16.06217,95.04467,130,143,75.40321
1.03111,14.86788,95.75856,115,141,75.47864
1.03139,12.987,96.92551,115,141,75.47542
1.03167,10.92583,98.70316,115,141,75.52326
1.03194,8.99596,100.68182,115,141,75.5326
1.03222,8.05934,102.04868,115,141,75.50957
1.0325,8.50639,102.53659,115,141,75.50484
1.03278,9.6743,102.50271,115,141,75.47958
1.03306,11.70476,101.36163,115,141,75.46191
