,System Pressure,,Pump Pressure,,Reactor Temperature
Time(hr),R1,R2,MX5,MX6,R7 ©
2.5,15.66274,101.73103,137,144,155.205
2.50028,16.55806,99.86613,120,145,155.12854
2.50056,16.19397,98.07315,120,145,155.14471
2.50083,14.61005,96.48895,120,145,155.14081
2.50111,12.27042,96.09534,120,145,155.14769
2.50139,10.32018,97.00576,120,145,155.1439
2.50167,8.79316,98.52891,120,145,155.15134
2.50194,8.79247,100.47189,120,145,155.14734
2.50222,9.93437,102.32954,120,145,155.12405
2.5025,11.96051,103.68679,128,143,155.13689
2.50278,14.39285,103.77052,128,143,155.13338
2.50306,16.16829,103.02252,128,143,155.16432
2.50333,16.64402,101.39304,128,143,155.16122
2.50361,15.80262,99.11408,128,143,155.2124
2.50389,13.92372,96.64153,128,143,155.18063
2.50417,11.58542,95.21787,128,143,155.17526
2.50444,9.47268,94.44523,128,143,155.18967
2.50472,8.35936,95.14678,126,143,155.1868
2.505,8.61599,97.10558,126,143,155.16043
2.50528,9.87022,99.07523,126,143,155.15625
2.50556,12.17175,100.76151,126,143,155.14586
2.50583,14.55616,102.06185,126,143,155.12947
2.50611,15.97731,101.94695,126,143,155.13327
2.50639,16.44582,100.93903,126,143,155.12134
2.50667,15.68854,99.33834,126,143,155.11736
2.50694,13.48428,97.22868,121,140,155.09703
2.50722,11.21612,95.44248,121,140,155.01443
2.5075,9.27271,94.37487,121,140,155.05185
2.50778,8.25877,94.32155,121,140,155.05629
2.50806,8.49859,95.1967,121,140,155.17056
2.50833,10.16847,97.0711,121,140,155.18703
2.50861,12.48494,99.27492,121,140,155.16406
2.50889,14.46473,100.78573,121,140,155.16008
2.50917,15.90712,101.74604,119,141,155.13336
2.50944,16.40582,101.98141,119,141,155.10605
2.50972,15.33885,100.88805,119,141,155.07025
2.51,13.75926,99.4343,119,141,155.15804
2.51028,11.76793,97.70293,119,141,155.15399
2.51056,9.78587,95.93842,119,141,155.12808
2.51083,8.65718,94.75744,119,141,155.12556
2.51111,8.9402,94.69268,119,141,155.12242
2.51139,10.23065,95.39833,126,142,155.12648
2.51167,12.13366,96.90934,126,142,155.12344
2.51194,13.56793,98.28341,126,142,155.09555
2.51222,14.98828,99.92305,126,142,155.09105
2.5125,15.26011,100.76636,126,142,155.08041
2.51278,14.5522,101.06806,126,142,155.17705
2.51306,13.50403,100.71227,126,142,155.18886
2.51333,11.47493,99.15372,126,142,155.18764
2.51361,9.533,97.2962,128,142,155.1847
2.51389,8.78236,95.78619,128,142,155.16798
2.51417,9.09463,94.86089,128,142,155.1378
2.51444,10.52669,94.97916,128,142,155.131
2.51472,12.55521,95.85308,128,142,155.08783
2.515,14.63746,97.3943,128,142,155.07706
2.51528,15.8385,99.35693,128,142,155.03305
2.51556,16.19921,101.40369,128,142,154.99278
2.51583,15.35343,102.43458,126,145,155.03897
2.51611,13.49929,102.55542,126,145,155.04013
2.51639,11.51087,101.61869,126,145,155.08665
2.51667,9.90569,99.76384,126,145,155.08438
2.51694,8.98377,97.67903,126,145,155.06526
2.51722,9.4306,96.13128,126,145,155.06055
2.5175,10.8983,95.31311,126,145,155.03659
2.51778,12.79201,95.1631,126,145,155.00919
2.51806,14.69102,96.42451,128,144,154.99533
2.51833,16.05638,97.97093,128,144,154.97018
2.51861,16.02993,99.66151,128,144,154.94493
2.51889,14.92996,101.46209,128,144,154.92197
2.51917,13.15971,102.40971,128,144,154.85162
2.51944,11.30753,102.2068,128,144,155.02396
2.51972,9.58248,101.19382,128,144,155.02101
2.52,9.07765,99.51101,128,144,155.09042
2.52028,9.64199,97.57544,126,145,155.07022
2.52056,11.00834,95.75075,126,145,155.06665
2.52083,13.20023,95.10344,126,145,155.03897
2.52111,15.36579,95.13724,126,145,155.03323
2.52139,16.23732,96.25165,126,145,155.01791
2.52167,16.17736,98.16041,126,145,154.96912
2.52194,14.97669,100.241,126,145,154.97751
2.52222,12.84583,101.70045,126,145,155.00218
2.5225,11.19301,102.34595,125,144,155.00153
2.52278,9.94818,101.95182,125,144,154.98161
2.52306,9.433,100.82909,125,144,154.98094
2.52333,10.1085,99.06798,125,144,154.97198
2.52361,11.26762,97.49983,125,144,155.04672
2.52389,13.11404,96.0211,125,144,155.05594
2.52417,14.81259,95.35313,125,144,155.04916
2.52444,15.84447,95.67497,125,144,155.04607
2.52472,15.98802,96.69946,117,144,155.03163
2.525,14.75264,98.37688,117,144,155.0111
2.52528,12.82863,100.2181,117,144,155.00565
2.52556,10.70877,101.66243,117,144,154.97112
2.52583,9.00805,102.43665,117,144,155.07814
2.52611,8.24494,102.55007,117,144,155.074
2.52639,9.14302,101.34007,117,144,155.05801
2.52667,10.98803,99.41412,117,144,155.04999
2.52694,13.2266,97.61076,121,141,155.04132
2.52722,15.22135,96.05238,121,141,155.01884
2.5275,16.41954,95.15688,121,141,155.22781
2.52778,16.11157,95.57513,121,141,155.20224
2.52806,15.31686,96.16794,121,141,155.19829
2.52833,13.60118,97.75484,121,141,155.29733
2.52861,10.93769,100.04601,121,141,155.2933
2.52889,9.33456,101.46928,121,141,155.33739
2.52917,8.6513,102.53052,125,141,155.29988
2.52944,9.1091,102.69409,125,141,155.29526
2.52972,10.80632,101.7207,125,141,155.26888
2.53,12.58978,100.57781,125,141,155.26173
2.53028,14.16396,98.82029,125,141,155.23654
2.53056,14.65138,97.6972,125,141,155.21237
2.53083,15.64309,95.87118,125,141,155.40399
2.53111,14.45079,95.77596,125,141,155.43092
2.53139,12.58797,97.10897,127,142,155.427
2.53167,11.20221,98.20985,127,142,155.39949
2.53194,9.77586,100.1138,127,142,155.39612
2.53222,9.41612,101.65887,127,142,155.36687
2.5325,10.41057,102.04102,127,142,155.36082
2.53278,11.93711,101.97786,127,142,155.34554
2.53306,13.49842,101.19115,127,142,155.29662
2.53333,15.1553,99.43391,127,142,155.32907
2.53361,16.1245,97.37784,124,144,155.34189
2.53389,15.87023,95.94959,124,144,155.31726
2.53417,14.3221,95.39156,124,144,155.31459
2.53444,12.20106,95.65511,124,144,155.29138
2.53472,10.25105,96.90704,124,144,155.22989
2.535,8.50012,98.80605,124,144,155.24458
2.53528,8.53344,100.51609,124,144,155.25586
2.53556,9.64508,101.9764,124,144,155.25204
2.53583,11.31737,102.98855,129,145,155.22676
2.53611,13.71843,102.34798,129,145,155.21468
2.53639,15.57946,101.25331,129,145,155.19127
2.53667,16.41259,99.60183,129,145,155.15865
2.53694,15.98456,97.42282,129,145,155.1433
2.53722,14.33044,95.72147,129,145,155.1218
2.5375,12.11627,95.32415,129,145,155.11418
