Time(hr),MX05,,Time(hr),MX06
1.00001,65.5905,,1,133.21375
1.00003,65.55343,,1.00001,132.3889
1.00005,65.46768,,1.00003,132.80918
1.00007,65.34689,,1.00005,132.91706
1.00009,65.20266,,1.00007,132.81054
1.00011,65.0408,,1.00008,132.60433
1.00013,64.87952,,1.00011,132.31174
1.00014,64.71473,,1.00013,131.9833
1.00016,64.55855,,1.00015,131.65656
1.00018,64.41256,,1.00016,131.30798
1.00021,64.28062,,1.00018,130.9867
1.00022,64.1635,,1.00021,130.69172
1.00024,64.06318,,1.00023,130.41654
1.00026,63.9807,,1.00024,130.1755
1.00028,63.92248,,1.00026,129.9652
1.00029,63.88038,,1.00028,129.7938
1.00031,63.85866,,1.0003,129.67875
1.00033,63.86017,,1.00032,129.59784
1.00036,63.88332,,1.00034,129.56063
1.00037,63.93019,,1.00036,129.57805
1.00039,64.00059,,1.00038,129.62244
1.00041,64.0886,,1.0004,129.71667
1.00043,64.2072,,1.00042,129.85085
1.00045,64.34508,,1.00044,130.03932
1.00046,64.4995,,1.00046,130.28718
1.00048,64.67544,,1.00048,130.56099
1.00051,64.86785,,1.00049,130.86895
1.00053,65.0833,,1.00051,131.21787
1.00054,65.3133,,1.00054,131.57943
1.00056,65.56149,,1.00056,131.9881
1.00058,65.8294,,1.00057,132.44696
1.0006,66.11172,,1.00059,132.93724
1.00061,66.41263,,1.00061,133.46984
1.00063,66.73254,,1.00064,134.0301
1.00066,67.06866,,1.00065,134.61324
1.00068,67.42605,,1.00067,135.23734
1.00069,67.75832,,1.00069,135.88842
1.00071,68.12663,,1.00071,136.5733
1.00073,68.44805,,1.00072,137.29915
1.00075,68.3485,,1.00075,137.97173
1.00077,68.31696,,1.00077,138.72386
1.00079,68.32518,,1.00079,139.37767
1.00081,68.35558,,1.0008,138.85804
1.00083,68.39794,,1.00082,138.64875
1.00085,68.43924,,1.00085,138.57979
1.00086,68.46454,,1.00087,138.57774
1.00088,68.48002,,1.00088,138.61257
1.0009,68.47643,,1.0009,138.63374
1.00092,68.4476,,1.00092,138.6375
1.00093,68.39334,,1.00094,138.61086
1.00096,68.30983,,1.00096,138.5361
1.00098,68.20062,,1.00098,138.40055
1.001,68.06187,,1.001,138.21311
1.00101,67.88597,,1.00102,137.95909
1.00103,67.68147,,1.00104,137.62689
1.00105,67.44322,,1.00106,137.22675
1.00107,67.16831,,1.00108,136.75219
1.00109,66.86241,,1.0011,136.21753
1.00111,66.52046,,1.00112,135.60469
1.00113,66.18837,,1.00113,134.90446
1.00115,65.79471,,1.00115,134.19842
1.00117,65.55199,,1.00118,133.40326
1.00118,65.59254,,1.0012,132.53948
1.0012,65.55261,,1.00121,132.85631
1.00122,65.46245,,1.00123,132.92903
1.00124,65.34568,,1.00125,132.81637
1.00126,65.2045,,1.00128,132.59718
1.00128,65.04719,,1.00129,132.29333
1.0013,64.88976,,1.00131,131.96863
1.00132,64.72545,,1.00133,131.64463
1.00133,64.56905,,1.00135,131.30732
1.00135,64.426,,1.00136,130.99492
1.00137,64.29563,,1.00139,130.69721
1.0014,64.17865,,1.00141,130.42443
1.00141,64.08042,,1.00143,130.18134
1.00143,63.99923,,1.00144,129.95156
1.00145,63.94458,,1.00146,129.75764
1.00147,63.90461,,1.00148,129.61971
1.00148,63.88603,,1.00151,129.52514
1.0015,63.89043,,1.00152,129.48383
1.00152,63.91925,,1.00154,129.4934
1.00155,63.96673,,1.00156,129.54598
1.00156,64.03875,,1.00158,129.65284
1.00158,64.12991,,1.0016,129.79009
1.0016,64.24821,,1.00162,129.98094
1.00162,64.38514,,1.00164,130.22505
1.00164,64.53919,,1.00166,130.47701
1.00165,64.71678,,1.00168,130.78291
1.00167,64.91234,,1.00169,131.12125
1.0017,65.1277,,1.00172,131.49167
1.00172,65.35946,,1.00174,131.9345
1.00173,65.60871,,1.00176,132.41418
1.00175,65.87696,,1.00177,132.92117
1.00177,66.16368,,1.00179,133.47186
1.00179,66.46558,,1.00181,134.04304
1.0018,66.78748,,1.00184,134.64359
1.00182,67.12686,,1.00185,135.29194
1.00185,67.48631,,1.00187,135.96111
1.00187,67.81806,,1.00189,136.64188
1.00188,68.18935,,1.00191,137.34213
1.0019,68.45477,,1.00193,138.01028
1.00192,68.36258,,1.00195,138.7747
1.00194,68.33471,,1.00197,139.49952
1.00196,68.34359,,1.00199,138.93961
1.00197,68.37,,1.002,138.66375
1.002,68.40671,,1.00202,138.58045
1.00202,68.44629,,1.00205,138.58148
1.00204,68.47313,,1.00207,138.61083
1.00205,68.48779,,1.00208,138.63303
1.00207,68.4835,,1.0021,138.62756
1.00209,68.4506,,1.00212,138.59411
1.00211,68.39354,,1.00215,138.51218
1.00212,68.31184,,1.00216,138.37083
1.00215,68.19703,,1.00218,138.17315
1.00217,68.05482,,1.0022,137.9089
1.00219,67.87407,,1.00222,137.575
1.0022,67.666,,1.00224,137.17111
1.00222,67.42534,,1.00226,136.69791
1.00224,67.148,,1.00228,136.1554
1.00226,66.83685,,1.0023,135.53949
1.00228,66.49889,,1.00232,134.84095
1.0023,66.16248,,1.00233,134.12978
1.00232,65.75896,,1.00236,133.33292
1.00234,65.56156,,1.00238,132.4333
1.00236,65.5796,,1.00239,132.63405
1.00237,65.52607,,1.00241,132.70439
1.00239,65.42684,,1.00243,132.57021
1.00241,65.30227,,1.00245,132.33839
1.00243,65.16082,,1.00248,132.02907
1.00245,65.00318,,1.00249,131.70029
1.00247,64.83981,,1.00251,131.36467
1.00249,64.67663,,1.00253,131.01712
1.00251,64.51957,,1.00255,130.66478
1.00252,64.37539,,1.00257,130.3319
1.00254,64.24224,,1.00259,130.01302
1.00256,64.12474,,1.00261,129.76276
1.00258,64.0242,,1.00263,129.54392
1.0026,63.94271,,1.00264,129.38619
1.00262,63.88327,,1.00266,129.28479
1.00264,63.84263,,1.00269,129.21582
1.00266,63.82239,,1.00271,129.1851
1.00268,63.83042,,1.00272,129.195
1.00269,63.85704,,1.00274,129.25031
1.00271,63.90595,,1.00276,129.34556
1.00273,63.97998,,1.00279,129.45857
1.00275,64.07282,,1.0028,129.63611
1.00277,64.19592,,1.00282,129.87647
1.00279,64.33443,,1.00284,130.13184
1.00281,64.4925,,1.00286,130.45072
1.00283,64.67307,,1.00288,130.80169
1.00284,64.87285,,1.0029,131.16769
1.00286,65.08547,,1.00292,131.57944
1.00289,65.32081,,1.00294,132.02464
1.00291,65.56947,,1.00295,132.49375
1.00292,65.84108,,1.00297,133.01305
1.00294,66.12802,,1.003,133.5617
1.00296,66.43396,,1.00302,134.13971
1.00298,66.75736,,1.00303,134.76313
1.00299,67.1003,,1.00305,135.42274
1.00301,67.45772,,1.00307,136.13323
1.00303,67.79182,,1.00309,136.88092
1.00306,68.16959,,1.00311,137.57979
1.00307,68.37792,,1.00313,138.34217
1.00309,68.28691,,1.00315,139.1165
1.00311,68.25915,,1.00317,138.67812
1.00313,68.26677,,1.00319,138.44016
1.00315,68.28991,,1.0032,138.35105
1.00316,68.31837,,1.00323,138.3374
1.00319,68.34998,,1.00325,138.35378
1.00321,68.37209,,1.00327,138.36915
1.00323,68.38352,,1.00328,138.3613
1.00324,68.37615,,1.0033,138.32238
1.00326,68.34032,,1.00333,138.23975
1.00328,68.28095,,1.00335,138.10387
1.0033,68.19815,,1.00336,137.91267
1.00331,68.08084,,1.00338,137.65252
1.00333,67.93467,,1.0034,137.33433
1.00336,67.75422,,1.00342,136.9615
1.00338,67.54146,,1.00344,136.50469
1.00339,67.29888,,1.00346,135.96219
1.00341,67.01711,,1.00348,135.34184
1.00343,66.70087,,1.0035,134.64228
1.00345,66.36435,,1.00351,133.92974
1.00347,66.02364,,1.00353,133.14142
1.00349,65.61745,,1.00356,132.23189
1.00351,65.48808,,1.00358,132.30735
1.00353,65.50659,,1.00359,132.36232
1.00355,65.45569,,1.00361,132.24385
1.00356,65.36102,,1.00363,132.02228
1.00358,65.23917,,1.00366,131.74233
1.0036,65.10422,,1.00367,131.43608
1.00362,64.95501,,1.00369,131.09808
1.00364,64.79747,,1.00371,130.74881
1.00366,64.64136,,1.00373,130.41969
1.00368,64.48774,,1.00375,130.10014
1.0037,64.34715,,1.00377,129.80959
1.00371,64.21646,,1.00379,129.55729
1.00373,64.10216,,1.00381,129.33263
1.00375,64.00476,,1.00383,129.14553
1.00377,63.92856,,1.00384,129.0018
1.00379,63.8695,,1.00387,128.89869
1.00381,63.83568,,1.00389,128.84339
1.00383,63.81731,,1.00391,128.83042
1.00385,63.82747,,1.00392,128.87002
1.00387,63.85442,,1.00394,128.97927
1.00388,63.90457,,1.00396,129.11823
1.0039,63.98045,,1.00399,129.28074
1.00392,64.07835,,1.004,129.49037
1.00395,64.1994,,1.00402,129.73857
1.00396,64.34054,,1.00404,130.03867
1.00398,64.49951,,1.00406,130.39169
1.004,64.68352,,1.00408,130.77237
1.00402,64.88206,,1.0041,131.20733
1.00403,65.09732,,1.00412,131.66619
1.00405,65.33508,,1.00414,132.15612
1.00407,65.58943,,1.00415,132.68906
1.0041,65.86093,,1.00417,133.25649
1.00411,66.14974,,1.0042,133.85806
1.00413,66.45627,,1.00422,134.49206
1.00415,66.7827,,1.00423,135.15339
1.00417,67.12645,,1.00425,135.85601
1.00418,67.48057,,1.00427,136.5822
1.0042,67.81622,,1.0043,137.2821
1.00422,68.20176,,1.00431,138.03662
1.00425,68.36201,,1.00433,138.84236
1.00426,68.29057,,1.00435,138.50504
1.00428,68.27697,,1.00437,138.26468
1.0043,68.29361,,1.00439,138.18206
1.00432,68.32413,,1.00441,138.18104
1.00434,68.35109,,1.00443,138.21108
1.00435,68.38541,,1.00445,138.24045
1.00437,68.41144,,1.00447,138.24181
1.0044,68.42039,,1.00448,138.21108
1.00442,68.41287,,1.00451,138.15748
1.00443,68.37895,,1.00453,138.05198
1.00445,68.32017,,1.00455,137.90005
1.00447,68.23631,,1.00456,137.65423
1.00449,68.11973,,1.00458,137.33637
1.0045,67.97067,,1.0046,136.93589
1.00452,67.79282,,1.00463,136.45791
1.00455,67.57874,,1.00464,135.88741
1.00457,67.33529,,1.00466,135.24691
1.00458,67.05006,,1.00468,134.53302
1.0046,66.73275,,1.0047,133.79625
1.00462,66.40005,,1.00471,133.00758
1.00464,66.05015,,1.00474,132.10625
1.00466,65.63846,,1.00476,132.10556
1.00467,65.5642,,1.00478,132.15917
1.0047,65.56926,,1.00479,132.03046
1.00472,65.50963,,1.00481,131.79453
1.00474,65.41,,1.00484,131.48692
1.00475,65.28381,,1.00486,131.15814
1.00477,65.14916,,1.00487,130.81502
1.00479,64.99885,,1.00489,130.46917
1.00481,64.8466,,1.00491,130.15507
1.00482,64.69251,,1.00493,129.84746
1.00485,64.54356,,1.00495,129.56408
1.00487,64.40231,,1.00497,129.3285
1.00489,64.27498,,1.00499,129.11103
1.0049,64.16093,,1.00501,128.92666
1.00492,64.06669,,1.00503,128.7819
1.00494,63.98804,,1.00504,128.67743
1.00496,63.92915,,1.00507,128.63475
1.00498,63.89409,,1.00509,128.62281
1.005,63.87935,,1.00511,128.65832
1.00502,63.88785,,1.00512,128.7604
1.00504,63.9188,,1.00514,128.88945
1.00506,63.96843,,1.00517,129.06868
1.00507,64.04822,,1.00519,129.29811
1.00509,64.14994,,1.0052,129.5545
