,System Pressure,,Pump Pressure,,Reactor Temperature
Time(hr),R1,R2,MX5,MX6,R7 ©
3.6,9.36763,102.98784,139,143,155.06726
3.60028,8.93304,102.26735,126,143,154.98808
3.60056,10.05995,100.46545,126,143,154.99124
3.60083,11.88565,98.48345,126,143,154.97672
3.60111,13.87264,96.82276,126,143,154.993
3.60139,15.76489,95.73727,126,143,154.97243
3.60167,16.90226,95.40751,126,143,154.93921
3.60194,16.56562,96.35216,126,143,154.92047
3.60222,15.2588,97.84815,126,143,154.72437
3.6025,13.28156,99.6739,124,142,154.72537
3.60278,11.09907,101.381,124,142,154.84073
3.60306,9.25686,102.78642,124,142,154.85207
3.60333,8.8476,102.99443,124,142,154.84943
3.60361,9.14411,102.75978,124,142,154.82697
3.60389,10.58915,101.65161,124,142,154.82272
3.60417,12.64797,100.10464,124,142,154.80537
3.60444,14.69319,98.35117,124,142,154.78882
3.60472,16.02442,97.00429,127,142,154.77203
3.605,16.71236,95.90403,127,142,154.73418
3.60528,16.27086,95.64667,127,142,154.73155
3.60556,14.82149,96.31702,127,142,154.72443
3.60583,12.89016,97.52069,127,142,154.72643
3.60611,11.05464,99.25085,127,142,154.7991
3.60639,9.43514,101.07044,127,142,154.81517
3.60667,8.89952,102.42039,127,142,154.80345
3.60694,9.53232,102.95603,126,144,154.80167
3.60722,10.74082,103.02182,126,144,154.79163
3.6075,12.69588,101.87692,126,144,154.78746
3.60778,14.70773,100.36903,126,144,154.77151
3.60806,16.17703,98.5853,126,144,154.76106
3.60833,16.79439,97.02399,126,144,154.7498
3.60861,16.68842,95.68084,126,144,154.92673
3.60889,15.22284,95.52947,126,144,154.9375
3.60917,13.28688,95.88287,126,142,154.934
3.60944,11.39945,97.14975,126,142,154.9416
3.60972,9.81143,98.99635,126,142,154.88525
3.61,8.92929,100.90707,126,142,154.96434
3.61028,9.59247,102.02751,126,142,154.96432
3.61056,10.93109,102.72895,126,142,155.04808
3.61083,12.82639,102.71272,126,142,155.04324
3.61111,15.04742,101.91142,126,142,155.02354
