<class 'dict'>
[INFO] Number of total samples: 224
[INFO] Observable dimension of a sample: 980
[INFO TYPE]<class 'numpy.ndarray'>
[INFO TYPE](224, 2)
[DEBUG]array([0.6, 0.8])
[INFO] Yp.shape (E-DMD): (224, 980)
[INFO] Yf.shape (E-DMD): (224, 980)
Number of training snapshots: 112
Number of test snapshots: 112
[INFO] hidden_vars_list: array([50, 50, 50, 50])
step 5000 , validation error 0.852077
step 5000 , test error 1.01194
step 10000 , validation error 0.71331
step 10000 , test error 0.896705
step 15000 , validation error 0.580735
step 15000 , test error 0.609713
step 20000 , validation error 0.664443
step 20000 , test error 0.734808
step 25000 , validation error 0.556718
step 25000 , test error 0.511462
step 30000 , validation error 0.507238
step 30000 , test error 0.563836
step 35000 , validation error 0.506702
step 35000 , test error 0.527013
step 40000 , validation error 0.537651
step 40000 , test error 0.509801
step 45000 , validation error 0.534343
step 45000 , test error 0.354795
step 50000 , validation error 0.484677
step 50000 , test error 0.474585
step 55000 , validation error 0.519009
step 55000 , test error 0.447591
step 60000 , validation error 0.469531
step 60000 , test error 0.440529
step 65000 , validation error 0.459272
step 65000 , test error 0.371661
step 70000 , validation error 0.440769
step 70000 , test error 0.424018
step 75000 , validation error 0.500024
step 75000 , test error 0.4354
step 80000 , validation error 0.429481
step 80000 , test error 0.384818
step 85000 , validation error 0.380249
step 85000 , test error 0.347354
step 90000 , validation error 0.411336
step 90000 , test error 0.299043
step 95000 , validation error 0.406067
step 95000 , test error 0.277353
step 100000 , validation error 0.442234
step 100000 , test error 0.397684
step 105000 , validation error 0.355687
step 105000 , test error 0.319935
step 110000 , validation error 0.350458
step 110000 , test error 0.32147
step 115000 , validation error 0.487827
step 115000 , test error 0.396034
step 120000 , validation error 0.405374
step 120000 , test error 0.322886
step 125000 , validation error 0.330145
step 125000 , test error 0.315923
step 130000 , validation error 0.398769
step 130000 , test error 0.355779
step 135000 , validation error 0.432685
step 135000 , test error 0.353902
step 140000 , validation error 0.356635
step 140000 , test error 0.284821
step 145000 , validation error 0.357364
step 145000 , test error 0.320329
step 150000 , validation error 0.366404
step 150000 , test error 0.279613
step 155000 , validation error 0.294616
step 155000 , test error 0.250266
step 160000 , validation error 0.343608
step 160000 , test error 0.268131
step 165000 , validation error 0.308446
step 165000 , test error 0.29463
step 170000 , validation error 0.330633
step 170000 , test error 0.256463
step 175000 , validation error 0.37829
step 175000 , test error 0.310581
step 180000 , validation error 0.345334
step 180000 , test error 0.247038
step 185000 , validation error 0.34388
step 185000 , test error 0.269363
step 190000 , validation error 0.248671
step 190000 , test error 0.227266
step 195000 , validation error 0.350491
step 195000 , test error 0.256337
step 200000 , validation error 0.34053
step 200000 , test error 0.294652
step 205000 , validation error 0.342098
step 205000 , test error 0.222672
step 210000 , validation error 0.254554
step 210000 , test error 0.248002
step 215000 , validation error 0.313931
step 215000 , test error 0.234911
step 220000 , validation error 0.378285
step 220000 , test error 0.284313
step 225000 , validation error 0.270834
step 225000 , test error 0.234047
step 230000 , validation error 0.347924
step 230000 , test error 0.268993
step 235000 , validation error 0.288306
step 235000 , test error 0.260746
step 240000 , validation error 0.294662
step 240000 , test error 0.259757
step 245000 , validation error 0.321612
step 245000 , test error 0.236174
step 250000 , validation error 0.28266
step 250000 , test error 0.239793
step 255000 , validation error 0.303189
step 255000 , test error 0.196818
step 260000 , validation error 0.283251
step 260000 , test error 0.217002
step 265000 , validation error 0.292533
step 265000 , test error 0.245276
step 270000 , validation error 0.283241
step 270000 , test error 0.243313
step 275000 , validation error 0.259646
step 275000 , test error 0.257494
step 280000 , validation error 0.27108
step 280000 , test error 0.215027
step 285000 , validation error 0.278839
step 285000 , test error 0.225732
step 290000 , validation error 0.294033
step 290000 , test error 0.214865
step 295000 , validation error 0.228346
step 295000 , test error 0.194221
step 300000 , validation error 0.260609
step 300000 , test error 0.241349
step 305000 , validation error 0.276736
step 305000 , test error 0.164694
step 310000 , validation error 0.277524
step 310000 , test error 0.208596
step 315000 , validation error 0.268508
step 315000 , test error 0.198748
step 320000 , validation error 0.225123
step 320000 , test error 0.181447
step 325000 , validation error 0.275313
step 325000 , test error 0.221233
step 330000 , validation error 0.217822
step 330000 , test error 0.177162
step 335000 , validation error 0.254041
step 335000 , test error 0.172235
step 340000 , validation error 0.286778
step 340000 , test error 0.237148
step 345000 , validation error 0.222795
step 345000 , test error 0.186239
step 350000 , validation error 0.206406
step 350000 , test error 0.183151
step 355000 , validation error 0.249281
step 355000 , test error 0.165023
step 360000 , validation error 0.232816
step 360000 , test error 0.177925
step 365000 , validation error 0.197222
step 365000 , test error 0.156114
step 370000 , validation error 0.228743
step 370000 , test error 0.168018
step 375000 , validation error 0.180071
step 375000 , test error 0.141879
step 380000 , validation error 0.191857
step 380000 , test error 0.173582
step 385000 , validation error 0.187966
step 385000 , test error 0.160568
step 390000 , validation error 0.221558
step 390000 , test error 0.169913
step 395000 , validation error 0.170542
step 395000 , test error 0.14869
step 400000 , validation error 0.167959
step 400000 , test error 0.143251
step 5000 , validation error 0.11828
step 5000 , test error 0.0961348
step 10000 , validation error 0.122539
step 10000 , test error 0.0892573
step 15000 , validation error 0.118532
step 15000 , test error 0.0914875
step 20000 , validation error 0.116796
step 20000 , test error 0.0930701
step 25000 , validation error 0.115584
step 25000 , test error 0.0884261
step 30000 , validation error 0.116749
step 30000 , test error 0.089532
step 35000 , validation error 0.118413
step 35000 , test error 0.0889636
step 40000 , validation error 0.116614
step 40000 , test error 0.0909282
step 45000 , validation error 0.109792
step 45000 , test error 0.0889692
step 50000 , validation error 0.100443
step 50000 , test error 0.0822005
step 55000 , validation error 0.108303
step 55000 , test error 0.0906224
step 60000 , validation error 0.112896
step 60000 , test error 0.084254
step 65000 , validation error 0.105203
step 65000 , test error 0.0858808
step 70000 , validation error 0.0978298
step 70000 , test error 0.0892576
step 75000 , validation error 0.106037
step 75000 , test error 0.0854398
step 80000 , validation error 0.101551
step 80000 , test error 0.0883654
step 85000 , validation error 0.105023
step 85000 , test error 0.0846126
step 90000 , validation error 0.0998182
step 90000 , test error 0.0857546
step 95000 , validation error 0.0927596
step 95000 , test error 0.0870311
step 100000 , validation error 0.0900042
step 100000 , test error 0.0878976
step 105000 , validation error 0.102022
step 105000 , test error 0.0833535
step 110000 , validation error 0.0962373
step 110000 , test error 0.0823053
step 115000 , validation error 0.09333
step 115000 , test error 0.0890462
step 120000 , validation error 0.0937401
step 120000 , test error 0.083481
step 125000 , validation error 0.0986462
step 125000 , test error 0.0812497
step 130000 , validation error 0.0948375
step 130000 , test error 0.0768827
step 135000 , validation error 0.0866742
step 135000 , test error 0.0810283
step 140000 , validation error 0.0902153
step 140000 , test error 0.0850727
step 145000 , validation error 0.0902325
step 145000 , test error 0.0856271
step 150000 , validation error 0.0957484
step 150000 , test error 0.0816396
step 155000 , validation error 0.0903982
step 155000 , test error 0.0802616
step 160000 , validation error 0.0889229
step 160000 , test error 0.0840998
step 165000 , validation error 0.0913386
step 165000 , test error 0.0792994
step 170000 , validation error 0.0893949
step 170000 , test error 0.0832049
step 175000 , validation error 0.0937482
step 175000 , test error 0.0783746
step 180000 , validation error 0.0884491
step 180000 , test error 0.0815789
step 185000 , validation error 0.0886196
step 185000 , test error 0.0703786
step 190000 , validation error 0.0886356
step 190000 , test error 0.082932
step 195000 , validation error 0.0879868
step 195000 , test error 0.0785919
step 200000 , validation error 0.0853113
step 200000 , test error 0.0799538
step 205000 , validation error 0.0804037
step 205000 , test error 0.0815108
