# data: ../../differential_expression_dchip/de_dchip_20180626/de_dchip_20180626_annot.tsv
# pval_cutoff < 1e-40
# fc_cutoff > 4
# max_diff_avg cutoff > 2000
# num removed probes: 0
# num records: 12
# 
probe	sgd_id	sys_name	symbol	p.value.rho0.wt	p.value.rho0.wt37d	p.value.wt.wt37d	rho0-wt_logFC	rho0-wt37d_logFC	wt-wt37d_logFC	avg_rho0	avg_wt	avg_wt37d	sd_rho0	sd_wt	sd_wt37d	diff_avg_rho0-wt	diff_avg_rho0-wt37d	diff_avg_wt-wt37d	max_diff_avg
1777033_at	S000005910	YOR383C	FIT3	2.0492631191836398e-42	2.7130127702455496e-36	0.115571659054047	4217.3239172506	3987.76201040427	-229.561906846331	7719.35252235091	3502.0286051003004	3731.5905119466297	498.54326596213303	459.208538041003	392.132679312182	4217.323917250609	3987.76201040428	229.5619068463293	4217.323917250609
1770040_at	S000003937	YLL014W	EMC6	1.3660692535649998e-41	1.16361886378905e-29	1.47049702331729e-53	1707.7323564150597	-1280.23242083035	-2987.9647772454	5128.88967272449	3421.15731630943	6409.122093554829	187.960685354091	187.44264043054199	202.62595862293597	1707.7323564150602	1280.232420830339	2987.964777245399	2987.964777245399
1775418_at	S000000326	YBR122C	MRPL36	2.4674218656079e-35	1.35985329126993e-19	9.185055409148459e-45	1808.10650889667	-1102.73040272686	-2910.8369116235303	3757.8171986805396	1949.7106897838698	4860.5476014074	298.290023464465	136.669490895592	361.17141701104697	1808.1065088966698	1102.7304027268606	2910.8369116235303	2910.8369116235303
1775209_at	S000002499	YDR092W	UBC13	1.0109913309298499e-44	1.0931105789503698e-35	7.61329188560648e-06	2888.64258667625	2448.60021078222	-440.04237589403	3622.1758297209703	733.533243044722	1173.57561893875	419.817195584281	224.31889186125701	105.699630081327	2888.6425866762484	2448.6002107822205	440.04237589402805	2888.6425866762484
1778780_at	S000004468	YML009C	MRPL39	1.11083982869725e-26	3.1825370055830395e-22	6.193657635689949e-41	1443.2576132886402	-1414.6958419744299	-2857.9534552630603	3648.83512816829	2205.57751487966	5063.53097014272	263.464950915074	153.406819132468	485.58697600076795	1443.2576132886297	1414.6958419744306	2857.9534552630603	2857.9534552630603
1779668_at	S000002522	YDR115W	YDR115W	1.89078197112632e-44	1.57806606776286e-06	1.24754436845755e-45	2401.26172923152	-424.883406668053	-2826.1451358995696	3763.2820519104903	1362.02032267897	4188.16545857854	326.058951899099	139.004253807882	260.489526189228	2401.2617292315203	424.8834066680497	2826.14513589957	2826.14513589957
1775245_at	S000005676	YOR150W	MRPL23	6.44910703661625e-32	2.00357915027739e-27	6.838625096134271e-47	1410.10421397814	-1399.5588276654098	-2809.6630416435496	3773.83868519274	2363.7344712146	5173.39751285815	309.815619937534	116.100031686416	262.159051297009	1410.1042139781398	1399.5588276654098	2809.6630416435496	2809.6630416435496
1773917_at	S000002919	YDR511W	ACN9	2.1990566008827002e-28	5.9600878655132e-28	2.51333831744536e-45	1222.2363858550698	-1431.98491545659	-2654.22130131167	2567.77720150559	1345.54081565051	3999.76211696218	196.744219588662	212.601808772608	298.90662317970697	1222.2363858550798	1431.98491545659	2654.22130131167	2654.22130131167
1773369_at	S000004551	YML086C	ALO1	5.51495245172081e-14	1.1995542984183198e-31	3.3181611200273694e-41	-702.407622411232	1915.3050959706	2617.71271838183	3927.8066580834998	4630.21428049473	2012.5015621129	173.654570191147	304.093594465394	287.12910844226	702.40762241123	1915.3050959705997	2617.7127183818297	2617.7127183818297
1777610_at	S000004056	YLR066W	SPC3	4.6005859059198e-34	1.35321117883738e-19	6.091737967799809e-44	1502.41028903857	-963.015401251458	-2465.4256902900197	3967.19322670128	2464.78293766271	4930.20862795274	145.10556714928498	186.225885672011	356.325115148795	1502.4102890385698	963.0154012514604	2465.42569029003	2465.42569029003
1769655_at	S000001650	YKL167C	MRP49	1.1592895865274197e-25	6.04364823347389e-25	4.81884311680379e-42	1084.98065120833	-1254.66113513315	-2339.64178634147	2361.50646617976	1276.52581497143	3616.1676013129	220.23339080674802	117.276006251849	371.29648425969003	1084.98065120833	1254.6611351331399	2339.64178634147	2339.64178634147
1769392_at	S000028857	YOR192C-C	YOR192C-C	7.45615353071849e-30	1.8916196229281497e-23	1.8031769287103395e-43	1085.3592961653999	-985.585426493345	-2070.94472265874	2693.2414962824	1607.8822001170001	3678.82692277575	187.18359326978901	216.48624432141102	135.407684469561	1085.3592961653999	985.58542649335	2070.94472265875	2070.94472265875
