# Genes chosen to maximize surprise centrality in comparison of rho0 vs. wt2 or wt37 vs. wt2
# Data taken from de_dchip_20180626_annot.tsv
# Run by Jed Singer, 8/9/2018
probe	sgd_id	sys_name	symbol	coefficients.rho0.wt	coefficients.rho0.wt37d	coefficients.wt.wt37d	df.residual	sigma	stdev.unscaled.rho0.wt	stdev.unscaled.rho0.wt37d	stdev.unscaled.wt.wt37d	Amean	s2.post	t.rho0.wt	t.rho0.wt37d	t.wt.wt37d	df.total	p.value.rho0.wt	p.value.rho0.wt37d	p.value.wt.wt37d	lods.rho0.wt	lods.rho0.wt37d	lods.wt.wt37d	F	F.p.value	avg_rho0	avg_wt	avg_wt37d	sd_rho0	sd_wt	sd_wt37d	rho0-wt_logFC	rho0-wt37d_logFC	wt-wt37d_logFC
1769579_at	S000003089	YGL121C	GPG1	403.9961439	-494.184956	-898.1810999	64	272.2428313	0.280691786	0.334845057	0.316227766	621.5994581	73062.72078	5.324754575	-5.460063681	-10.50790147	65.20032686	1.34E-06	7.95E-07	1.15E-15	-4.481729562	-4.512219851	-4.404012035	56.31441203	6.23E-15	691.8548309	287.858687	1186.039787	245.8169835	272.2665808	307.6111612	403.9961439	-494.184956	-898.1810999
1770184_at	S000002314	YDL155W	CLB3	-1200.239965	-844.8228413	355.417124	64	148.8644176	0.280691786	0.334845057	0.316227766	844.0614432	22063.66911	-28.78720575	-16.98567802	7.566577427	65.20032686	8.74E-39	1.24E-25	1.69E-10	-4.23460331	-4.372410877	-4.454323787	420.477216	5.49E-38	117.5011211	1317.741086	962.3239624	12.85911841	202.0426255	128.449935	-1200.239965	-844.8228413	355.417124
1771403_at	S000001812	YKR104W	YKR104W	-1289.685903	74.22022313	1363.906126	64	273.5020512	0.280691786	0.334845057	0.316227766	801.4276666	73737.28213	-16.92040235	0.816271814	15.88330652	65.20032686	1.53E-25	0.417317032	4.26E-24	-4.279315247	-4.596520748	-4.352149179	196.0061796	2.66E-28	240.5728346	1530.258738	166.3526114	46.40341994	404.1520175	19.58541566	-1289.685903	74.22022313	1363.906126
1772627_at	S000004200	YLR210W	CLB4	-744.5558074	-715.41599	29.13981737	64	141.9258761	0.280691786	0.334845057	0.316227766	638.0003608	20083.15335	-18.71766193	-15.07643981	0.650235795	65.20032686	6.40E-28	6.24E-23	0.517824605	-4.267963219	-4.383177824	-4.59783199	198.8607152	1.77E-28	144.4494045	889.0052119	859.8653945	22.5496089	180.8370952	153.5557828	-744.5558074	-715.41599	29.13981737
1773003_at	S000003936	YLL013C	PUF3	1227.065569	523.1844657	-703.8811032	64	101.21993	0.280691786	0.334845057	0.316227766	743.6112876	10367.88419	42.93317408	15.34496421	-21.86020535	65.20032686	1.57E-49	2.53E-23	1.02E-31	-4.219185802	-4.381487741	-4.325448055	940.7894477	8.18E-49	1410.174482	183.1089135	886.9900167	148.9832555	30.21426558	107.941776	1227.065569	523.1844657	-703.8811032
1773255_at	S000003240	YGR008C	STF2	1015.037738	-3387.838906	-4402.876644	64	1741.993974	0.280691786	0.334845057	0.316227766	2518.105026	2978988.614	2.095164194	-5.861981418	-8.066814983	65.20032686	0.040044929	1.66E-07	2.18E-11	-4.576285392	-4.503500333	-4.444352909	33.04475613	1.23E-10	2214.128138	1199.0904	5601.967044	744.3283216	1821.430872	2483.740446	1015.037738	-3387.838906	-4402.876644
1773633_at	S000000406	YBR202W	MCM7	-1871.691265	-733.0587335	1138.632531	64	577.8454948	0.280691786	0.334845057	0.316227766	1557.396022	328069.3016	-11.64184231	-3.822188338	6.286382329	65.20032686	1.43E-17	0.000297982	3.06E-08	-4.334577098	-4.548537145	-4.482436628	69.89973362	6.04E-17	555.2076793	2426.898944	1288.266413	535.2439779	683.0928354	360.7412356	-1871.691265	-733.0587335	1138.632531
1774137_at	S000000765	YEL039C	CYC7	-67.14823806	-2907.453192	-2840.304954	64	1448.541432	0.280691786	0.334845057	0.316227766	1329.2654	2059954.474	-0.166677165	-6.04978622	-6.258008665	65.20032686	0.868139906	7.88E-08	3.43E-08	-4.600926671	-4.499498773	-4.483098366	23.26837074	2.36E-08	648.2766679	715.4249059	3555.72986	186.4914732	1198.126494	2562.495432	-67.14823806	-2907.453192	-2840.304954
1774377_at	S000004506	YML042W	CAT2	-1136.944702	35.52581616	1172.470518	64	173.314541	0.280691786	0.334845057	0.316227766	815.3183117	29795.96436	-23.46555957	0.61464089	21.47945254	65.20032686	1.68E-33	0.540931007	2.79E-31	-4.247692927	-4.597728243	-4.32662612	368.7192306	2.86E-36	314.1921355	1451.136837	278.6663194	81.71991293	243.3170287	68.29263905	-1136.944702	35.52581616	1172.470518
1774540_at	S000003480	YGR248W	SOL4	-109.7734314	-2627.927939	-2518.154508	64	1582.470565	0.280691786	0.334845057	0.316227766	1407.651128	2458421.981	-0.249424621	-5.005429454	-5.078718697	65.20032686	0.803816464	4.49E-06	3.41E-06	-4.600719341	-4.522274297	-4.511690845	15.60408439	2.90E-06	770.1567698	879.9302011	3398.084709	346.3581782	1889.801281	1967.254728	-109.7734314	-2627.927939	-2518.154508
