"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"aaeA",30.2917504031312,0.267411395191277,0.259937266384687,1.02875358701176,0.303595481731129,0.366859581818383
"aaeB",35.553603840192,1.07314293691627,0.239239460939746,4.48564351675472,7.26941953380197e-06,1.47677113467791e-05
"aaeR",126.229668649908,-0.735716341989893,0.182182020173995,-4.03835867714737,5.38265062758122e-05,0.000102293009822897
"aaeX",16.1058197257625,-0.866030649979702,0.377267329410588,-2.29553577123341,0.0217024388457209,0.0324220558279512
"aas",330.361547136961,0.763577263209411,0.109723599806162,6.95909781084787,3.42458697622302e-12,9.88703555280296e-12
"aat",188.232761282932,1.29936692094618,0.131338893489627,9.89323791622168,4.45384500154066e-23,1.99612788657804e-22
"abgA",15.5594934647839,0.95181787109296,0.402009724669818,2.36764887186427,0.0179015163664468,0.0270318217049057
"abgB",64.4243092912851,2.22082241960268,0.206251187928977,10.7675618351707,4.89800284480786e-27,2.46415613417623e-26
"abgR",19.141375078131,1.37001296673235,0.33536946746012,4.08508555387577,4.4060579087773e-05,8.45239518602158e-05
"abgT",21.3307715824622,1.43056269713949,0.31109831812277,4.59842632956615,4.25694190986203e-06,8.81531781130369e-06
"abrB",27.4679607498762,-0.453200762147516,0.314262510505675,-1.44210889621635,0.14927165577732,0.19349147982615
"accA",464.620544636804,-0.804526840856756,0.154815622736739,-5.1966773548742,2.02882037857513e-07,4.51157266898682e-07
"accB",293.426375148706,-2.19382623675776,0.202570739152047,-10.8299266021392,2.48354313098832e-27,1.26829181249592e-26
"accC",664.493053626062,-3.0747012233846,0.235838865835608,-13.0372965138317,7.50720808582404e-39,5.27972333371535e-38
"accD",520.728094797494,-2.22940230545339,0.149882935946474,-14.8742903344885,4.84090972069268e-50,4.50304302393953e-49
"aceA",3778.93746002337,-0.73426746680569,0.199750220807125,-3.67592818590516,0.000236986187156969,0.000424009177285687
"aceB",4591.35675584623,-1.08644467572642,0.173504636325878,-6.26176163780341,3.80652485753657e-10,9.97648197671577e-10
"aceE",5308.61979779683,-3.64740506696779,0.266449873234026,-13.6888977378654,1.18290065625636e-42,9.2293496500616e-42
"aceF",3024.47295070562,-3.4278815070438,0.261601381968317,-13.1034533581285,3.14610403831644e-39,2.23973956493106e-38
"aceK",603.682909694931,-0.801534917587505,0.150809536218053,-5.31488218641944,1.06726355665615e-07,2.41157663024306e-07
"ackA",3259.57112480217,2.5237632586296,0.180197404593591,14.0055472181832,1.44164988978914e-44,1.18151346814372e-43
"acnA",7803.63179632179,3.60732299844273,0.204600428423736,17.6310627804347,1.42267504365025e-69,1.8776539131293e-68
"acnB",1855.76876805035,-1.01275874936694,0.114335671808341,-8.85776707609331,8.16330603169877e-19,3.14837182342083e-18
"acpH",98.4282658473208,1.25140079366874,0.192994554372989,6.48412489012632,8.92482722125932e-11,2.41380057580966e-10
"acpP",2659.73382447301,-0.259259092106781,0.132457688303303,-1.95729742401308,0.0503125101968626,0.0710386779959174
"acpS",40.6258643019585,-3.21510266763885,0.388678437170913,-8.27188328490956,1.31859355327509e-16,4.60488212548389e-16
"acpT",148.900393173097,1.66018999212771,0.177451736501564,9.35572694219917,8.30267877092573e-21,3.42643545216377e-20
"acrA",608.042339649606,-1.8942648125144,0.124790084110944,-15.1796100307963,4.82642619545231e-52,4.75046549261832e-51
"acrB",1170.52573798356,-2.46152112859586,0.139397248639373,-17.6583193185106,8.781575693457e-70,1.17039689160337e-68
"acrD",42.3547208573363,-0.413864722011242,0.246624088700528,-1.67811961999297,0.0933237492643218,0.125616238662076
"acrE",2.62127939441034,-0.997126136081139,0.89160506670995,-1.11834956227937,0.263417726915511,0.323209495898447
"acrF",59.5799992285841,1.35854996603351,0.202021406635222,6.72478223303618,1.75855245481775e-11,4.92661318320754e-11
"acrR",103.246844661684,-0.212522371434641,0.200645153390029,-1.05919514049524,0.289510917719977,0.351722020481681
"acrS",0.364338991912389,0.698421915308023,2.00439021296761,0.348446081401471,0.727505200272377,0.776604159429415
"acrZ",17.2089740755137,0.36033792009306,0.37832335708411,0.952460146448078,0.340863668532117,0.405623774175367
"acs",4292.08215154954,5.71955370043053,0.183662888234307,31.1415863891558,6.59333593521645e-213,4.96331677345461e-211
"actP",370.187615234319,4.42359893905599,0.253038477820096,17.4819220268984,1.96753807792055e-68,2.54714722507867e-67
"acuI",453.804399551111,0.208116646404546,0.11835859518143,1.75835684840232,0.0786868105143908,0.107192320623659
"ada",451.562119457893,3.26955443940709,0.144699635317964,22.5954573570455,4.80318639458374e-113,1.20524399345573e-111
"add",113.870656213076,-0.551834477513283,0.204522763538266,-2.69815676243802,0.00697245985452438,0.0110112856676929
