sample,strain,condition,replicate,temperature,timepoint,ara (M),iptg (M),orig_id
icar_003018R0,MG1655_IcaR_Gate,icar_003018,0,30,18,0.0,0.0,8310154
icar_003018R1,MG1655_IcaR_Gate,icar_003018,1,30,18,0.0,0.0,8310155
icar_003018R2,MG1655_IcaR_Gate,icar_003018,2,30,18,0.0,0.0,8310156
icar_003018R3,MG1655_IcaR_Gate,icar_003018,3,30,18,0.0,0.0,8310157
icar_00305R0,MG1655_IcaR_Gate,icar_00305,0,30,5,0.0,0.0,8310242
icar_00305R1,MG1655_IcaR_Gate,icar_00305,1,30,5,0.0,0.0,8310243
icar_00305R2,MG1655_IcaR_Gate,icar_00305,2,30,5,0.0,0.0,8310244
icar_00305R3,MG1655_IcaR_Gate,icar_00305,3,30,5,0.0,0.0,8310245
icar_003718R0,MG1655_IcaR_Gate,icar_003718,0,37,18,0.0,0.0,8309978
icar_003718R1,MG1655_IcaR_Gate,icar_003718,1,37,18,0.0,0.0,8309979
icar_003718R2,MG1655_IcaR_Gate,icar_003718,2,37,18,0.0,0.0,8309980
icar_003718R3,MG1655_IcaR_Gate,icar_003718,3,37,18,0.0,0.0,8309981
icar_00375R0,MG1655_IcaR_Gate,icar_00375,0,37,5,0.0,0.0,8310066
icar_00375R2,MG1655_IcaR_Gate,icar_00375,2,37,5,0.0,0.0,8310068
icar_00375R3,MG1655_IcaR_Gate,icar_00375,3,37,5,0.0,0.0,8310069
icar_013018R0,MG1655_IcaR_Gate,icar_013018,0,30,18,0.0,3.8812614e-05,8310222
icar_013018R1,MG1655_IcaR_Gate,icar_013018,1,30,18,0.0,3.8812614e-05,8310223
icar_013018R2,MG1655_IcaR_Gate,icar_013018,2,30,18,0.0,3.8812614e-05,8310224
icar_013018R3,MG1655_IcaR_Gate,icar_013018,3,30,18,0.0,3.8812614e-05,8310225
icar_01305R0,MG1655_IcaR_Gate,icar_01305,0,30,5,0.0,3.8812614e-05,8310310
icar_01305R1,MG1655_IcaR_Gate,icar_01305,1,30,5,0.0,3.8812614e-05,8310311
icar_01305R2,MG1655_IcaR_Gate,icar_01305,2,30,5,0.0,3.8812614e-05,8310312
icar_01305R3,MG1655_IcaR_Gate,icar_01305,3,30,5,0.0,3.8812614e-05,8310313
icar_013718R0,MG1655_IcaR_Gate,icar_013718,0,37,18,0.0,3.8266769e-05,8310046
icar_013718R1,MG1655_IcaR_Gate,icar_013718,1,37,18,0.0,3.8266769e-05,8310047
icar_013718R2,MG1655_IcaR_Gate,icar_013718,2,37,18,0.0,3.8266769e-05,8310048
icar_013718R3,MG1655_IcaR_Gate,icar_013718,3,37,18,0.0,3.8266769e-05,8310049
icar_01375R1,MG1655_IcaR_Gate,icar_01375,1,37,5,0.0,3.8266769e-05,8310135
