"sample_id","timepoint","strain","temperature","replicate","arabinose_concentration","arabinose_unit","IPTG_concentration","IPTG_unit","strain_input_state"
"sample.ginkgo.13108575.experiment.ginkgo.19606.19637.19708.19709","18.0","MG1655_NAND_Circuit","37.0","4","0.0005","M","2.5e-07","M","11"
"sample.ginkgo.13108479.experiment.ginkgo.19606.19637.19708.19709","8.0","MG1655_NAND_Circuit","37.0","4","0.025","M","0","M","01"
"sample.ginkgo.13108579.experiment.ginkgo.19606.19637.19708.19709","18.0","MG1655_NAND_Circuit","37.0","4","0.0005","M","0.00025","M","11"
"sample.ginkgo.13108581.experiment.ginkgo.19606.19637.19708.19709","18.0","MG1655_empty_landing_pads","37.0","4","0.0005","M","2.5e-07","M","NA"
"sample.ginkgo.13107374.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","2","0","M","0","M","00"
"sample.ginkgo.13107375.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","2","0","M","2.5e-07","M","10"
"sample.ginkgo.13107376.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","2","0","M","2.5e-06","M","10"
"sample.ginkgo.13107378.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","2","0","M","2.5e-05","M","10"
"sample.ginkgo.13107379.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","2","0","M","0.00025","M","10"
"sample.ginkgo.13107380.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","2","0","M","0","M","NA"
"sample.ginkgo.13107381.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","2","0","M","2.5e-07","M","NA"
"sample.ginkgo.13107382.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","2","0","M","2.5e-06","M","NA"
"sample.ginkgo.13107383.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","2","0","M","2.5e-05","M","NA"
"sample.ginkgo.13107385.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_empty_landing_pads","37.0","2","0","M","0.00025","M","NA"
"sample.ginkgo.13107386.experiment.ginkgo.19606.19637.19708.19709","5.0","MG1655_NAND_Circuit","37.0","2","5e-05","M","0","M","01"
