Name,Type,Minimum,Maximum,Length,Direction
gene=yjtD,gene=yjtD,4652387,4653073,687,forward
gene=yjjY,gene=yjjY,4651847,4651987,141,forward
gene=arcA,gene=arcA,4651035,4651751,717,reverse
gene=creD,gene=creD,4649623,4650975,1353,forward
gene=creC,gene=creC,4648141,4649565,1425,forward
gene=creB,gene=creB,4647452,4648141,690,forward
gene=creA,gene=creA,4646966,4647439,474,forward
gene=rob,gene=rob,4645886,4646755,870,reverse
gene=ytjC,gene=ytjC,4645242,4645889,648,forward
gene=yjjX,gene=yjjX,4644678,4645190,513,reverse
gene=trpR,gene=trpR,4644205,4644531,327,forward
gene=slt,gene=slt,4642178,4644115,1938,forward
gene=ettA,gene=ettA,4640300,4641967,1668,reverse
gene=nadR,gene=nadR,4638760,4639992,1233,forward
gene=radA,gene=radA,4637357,4638739,1383,forward
gene=serB,gene=serB,4636340,4637308,969,forward
gene=ytjB,gene=ytjB,4635590,4636234,645,reverse
gene=lplA,gene=lplA,4634546,4635562,1017,reverse
gene=yjjJ,gene=yjjJ,4633214,4634545,1332,forward
gene=deoD,gene=deoD,4632328,4633047,720,forward
gene=deoB,gene=deoB,4631048,4632271,1224,forward
gene=deoA,gene=deoA,4629674,4630996,1323,forward
gene=deoC,gene=deoC,4628768,4629547,780,forward
gene=yjjI,gene=yjjI,4626960,4628510,1551,reverse
gene=yjjW,gene=yjjW,4626125,4626988,864,reverse
gene=yjjV,gene=yjjV,4624926,4625705,780,forward
gene=yjjU,gene=yjjU,4623856,4624929,1074,forward
gene=ytjA,gene=ytjA,4623573,4623734,162,forward
gene=osmY,gene=osmY,4622841,4623446,606,forward
gene=prfC,gene=prfC,4620859,4622448,1590,forward
gene=yjjG,gene=yjjG,4620091,4620768,678,forward
gene=rimI,gene=rimI,4619630,4620076,447,forward
gene=holD,gene=holD,4619248,4619661,414,forward
gene=rsmC,gene=rsmC,4618114,4619145,1032,reverse
gene=yjjZ,gene=yjjZ,4617249,4617485,237,forward
gene=fhuF,gene=fhuF,4616320,4617108,789,reverse
gene=bglJ,gene=bglJ,4615605,4616282,678,forward
gene=yjjQ,gene=yjjQ,4614922,4615647,726,forward
gene=yjjP,gene=yjjP,4613533,4614303,771,reverse
gene=yjjB,gene=yjjB,4613069,4613542,474,reverse
gene=dnaT,gene=dnaT,4612423,4612962,540,reverse
gene=dnaC,gene=dnaC,4611683,4612420,738,reverse
gene=yjjA,gene=yjjA,4611140,4611634,495,reverse
gene=opgB,gene=opgB,4608595,4610886,2292,reverse
gene=lgoD,gene=lgoD,4607435,4608457,1023,forward
gene=lgoR,gene=lgoR,4606382,4607296,915,reverse
gene=lgoT,gene=lgoT,4604806,4606167,1362,reverse
gene=tsr,gene=tsr,4603102,4604757,1656,forward
gene=yjiY,gene=yjiY,4600574,4602724,2151,reverse
gene=yjiX,gene=yjiX,4600321,4600524,204,reverse
gene=yjiA,gene=yjiA,4599354,4600310,957,reverse
gene=mrr,gene=mrr,4598394,4599308,915,forward
gene=hsdR,gene=hsdR,4594694,4598206,3513,reverse
gene=hsdM,gene=hsdM,4592904,4594493,1590,reverse
gene=hsdS,gene=hsdS,4591513,4592907,1395,reverse
gene=symE,gene=symE,4590944,4591285,342,reverse
gene=mcrB,gene=mcrB,4589403,4590782,1380,reverse
gene=mcrC,gene=mcrC,4588357,4589403,1047,reverse
gene=yjiS,gene=yjiS,4583196,4583360,165,forward
gene=yjiR,gene=yjiR,4581607,4583019,1413,reverse
gene=mdtM,gene=mdtM,4578732,4579964,1233,reverse
gene=yjiN,gene=yjiN,4577411,4578691,1281,reverse
gene=yjiM,gene=yjiM,4576144,4577295,1152,reverse
gene=yjiL,gene=yjiL,4575367,4576134,768,reverse
gene=yjiK,gene=yjiK,4574188,4575048,861,reverse
gene=yjiJ,gene=yjiJ,4572942,4574120,1179,reverse
gene=kptA,gene=kptA,4572375,4572929,555,forward
gene=yjiH,gene=yjiH,4571442,4572125,684,reverse
gene=yjiG,gene=yjiG,4570984,4571445,462,reverse
gene=iadA,gene=iadA,4569799,4570971,1173,reverse
gene=hypT,gene=hypT,4568823,4569734,912,reverse
gene=iraD,gene=iraD,4568438,4568830,393,forward
gene=yjiC,gene=yjiC,4566935,4567765,831,reverse
gene=uxuR,gene=uxuR,4566021,4566794,774,forward
gene=uxuB,gene=uxuB,4564346,4565806,1461,forward
gene=uxuA,gene=uxuA,4563081,4564265,1185,forward
gene=gntP,gene=gntP,4561398,4562741,1344,reverse
gene=fimH,gene=fimH,4560253,4561155,903,forward
gene=fimG,gene=fimG,4559730,4560233,504,forward
gene=fimF,gene=fimF,4559187,4559717,531,forward
gene=fimD,gene=fimD,4556541,4559177,2637,forward
gene=fimC,gene=fimC,4555749,4556474,726,forward
gene=fimI,gene=fimI,4555173,4555712,540,forward
gene=fimA,gene=fimA,4554560,4555108,549,forward
gene=fimE,gene=fimE,4553482,4554078,597,forward
gene=fimB,gene=fimB,4552402,4553004,603,forward
gene=nanC,gene=nanC,4550230,4550946,717,reverse
gene=nanM,gene=nanM,4549104,4550210,1107,reverse
gene=nanS,gene=nanS,4548059,4549039,981,reverse
gene=yjhX,gene=yjhX,4545241,4545498,258,reverse
gene=yjhQ,gene=yjhQ,4544684,4545229,546,reverse
gene=yjhP,gene=yjhP,4543882,4544628,747,reverse
gene=sgcX,gene=sgcX,4541975,4543096,1122,reverse
gene=sgcB,gene=sgcB,4541700,4541978,279,reverse
gene=sgcC,gene=sgcC,4540375,4541688,1314,reverse
gene=sgcQ,gene=sgcQ,4539556,4540362,807,reverse
gene=sgcA,gene=sgcA,4538994,4539425,432,reverse
gene=sgcE,gene=sgcE,4538350,4538982,633,reverse
gene=sgcR,gene=sgcR,4537551,4538333,783,reverse
gene=yjhI,gene=yjhI,4536460,4537248,789,reverse
gene=yjhH,gene=yjhH,4535550,4536455,906,reverse
gene=yjhG,gene=yjhG,4533572,4535539,1968,reverse
gene=yjhF,gene=yjhF,4532116,4533465,1350,reverse
gene=yjhU,gene=yjhU,4530783,4531769,987,reverse
gene=insA,gene=insA,4529972,4530247,276,forward
gene=fecI,gene=fecI,4529159,4529680,522,reverse
gene=fecR,gene=fecR,4528209,4529162,954,reverse
gene=fecA_Part2,gene=fecA_Part2,4525904,4528122,2219,reverse
gene=RET4_Part_terminator,gene=RET4_Part_terminator,4525738,4525903,166,forward
gene=Actuator_YFP,gene=Actuator_YFP,4524952,4525671,720,forward
gene=RiboJ00_Part_ribozyme,gene=RiboJ00_Part_ribozyme,4524851,4524925,75,forward
gene=pIcaR_Part_promoter,gene=pIcaR_Part_promoter,4524794,4524850,57,forward
gene=pPhlF_Part_promoter,gene=pPhlF_Part_promoter,4524728,4524778,51,forward
gene=CamR,gene=CamR_Part_resistance_maker,4523706,4524365,660,reverse
gene=R6K_2_Part_origin,gene=R6K_2_Part_origin,4523033,4523482,450,forward
gene=DT54NSNS_2_Part_terminator,gene=DT54NSNS_2_Part_terminator,4522830,4522941,112,forward
gene=DT36NSNS_Part_terminator,gene=DT36NSNS_Part_terminator,4522614,4522699,86,forward
gene=fecA_Part1,gene=fecA_Part1,4522508,4522613,106,reverse
gene=fecB,gene=fecB,4521561,4522463,903,reverse
gene=fecC,gene=fecC,4520566,4521564,999,reverse
gene=fecD,gene=fecD,4519613,4520569,957,reverse
gene=fecE,gene=fecE,4518845,4519612,768,reverse
gene=insI1,gene=insI1,4515621,4516772,1152,reverse
gene=ythA,gene=ythA,4514603,4514728,126,forward
gene=yjhC,gene=yjhC,4513442,4514560,1119,forward
gene=yjhB,gene=yjhB,4512213,4513430,1218,forward
gene=insG,gene=insG,4510258,4511586,1329,reverse
gene=yjgZ,gene=yjgZ,4509415,4509744,330,forward
gene=insD1,gene=insD1,4506750,4507655,906,forward
gene=insC1,gene=insC1,4506427,4506792,366,forward
gene=ahr,gene=ahr,4503345,4504364,1020,reverse
gene=idnK,gene=idnK,4502778,4503341,564,forward
gene=idnD,gene=idnD,4501530,4502561,1032,reverse
gene=idnO,gene=idnO,4500742,4501506,765,reverse
gene=idnT,gene=idnT,4499361,4500680,1320,reverse
gene=idnR,gene=idnR,4498296,4499294,999,reverse
gene=yjgR,gene=yjgR,4496716,4498218,1503,reverse
gene=lptG,gene=lptG,4495473,4496555,1083,forward
gene=lptF,gene=lptF,4494373,4495473,1101,forward
gene=pepA,gene=pepA,4492595,4494106,1512,reverse
gene=holC,gene=holC,4491992,4492435,444,reverse
gene=valS,gene=valS,4489137,4491992,2856,reverse
gene=yjgN,gene=yjgN,4487885,4489081,1197,forward
gene=yjgM,gene=yjgM,4487189,4487692,504,reverse
gene=rraB,gene=rraB,4486628,4487044,417,forward
gene=argI,gene=argI,4485462,4486466,1005,reverse
gene=yjgL,gene=yjgL,4483592,4485406,1815,forward
gene=tabA,gene=tabA,4483017,4483469,453,forward
gene=bdcR,gene=bdcR,4482279,4482872,594,forward
gene=bdcA,gene=bdcA,4481495,4482208,714,reverse
gene=yjgH,gene=yjgH,4480969,4481364,396,reverse
gene=pyrL,gene=pyrL,4480554,4480688,135,reverse
gene=pyrB,gene=pyrB,4479615,4480550,936,reverse
gene=pyrI,gene=pyrI,4479141,4479602,462,reverse
gene=ridA,gene=ridA,4478682,4479068,387,reverse
gene=mgtA,gene=mgtA,4475780,4478476,2697,forward
gene=mgtL,gene=mgtL,4475586,4475639,54,forward
gene=treR,gene=treR,4474454,4475401,948,reverse
gene=treB,gene=treB,4472914,4474335,1422,reverse
gene=treC,gene=treC,4471209,4472864,1656,reverse
gene=nrdD,gene=nrdD,4468677,4470815,2139,reverse
gene=nrdG,gene=nrdG,4468055,4468519,465,reverse
gene=pmbA,gene=pmbA,4466114,4467466,1353,forward
gene=yjgA,gene=yjgA,4465469,4466020,552,reverse
gene=mpl,gene=mpl,4463940,4465313,1374,forward
gene=fbp,gene=fbp,4462766,4463764,999,reverse
gene=yjfF,gene=yjfF,4461738,4462733,996,forward
gene=ytfT,gene=ytfT,4460726,4461751,1026,forward
gene=ytfR,gene=ytfR,4459213,4460715,1503,forward
gene=ytfQ,gene=ytfQ,4458117,4459073,957,forward
gene=ppa,gene=ppa,4457277,4457807,531,reverse
gene=chpB,gene=chpB,4456847,4457197,351,forward
gene=chpS,gene=chpS,4456602,4456853,252,forward
gene=ytfP,gene=ytfP,4456049,4456390,342,forward
gene=tamB,gene=tamB,4452267,4456046,3780,forward
gene=tamA,gene=tamA,4450537,4452270,1734,forward
gene=msrA,gene=msrA,4449693,4450331,639,reverse
gene=ytfL,gene=ytfL,4448027,4449370,1344,reverse
gene=ytfK,gene=ytfK,4447742,4447948,207,forward
gene=ytfJ,gene=ytfJ,4446863,4447417,555,reverse
gene=ytfI,gene=ytfI,4445862,4446800,939,forward
gene=cysQ,gene=cysQ,4444910,4445650,741,forward
gene=cpdB,gene=cpdB,4442777,4444720,1944,reverse
gene=ytfH,gene=ytfH,4442268,4442648,381,forward
gene=qorB,gene=qorB,4441319,4442179,861,reverse
gene=ytfF,gene=ytfF,4440246,4441211,966,reverse
gene=ytfE,gene=ytfE,4439476,4440138,663,reverse
gene=cycA,gene=cycA,4438019,4439431,1413,forward
gene=fklB,gene=fklB,4437090,4437710,621,forward
gene=ytfB,gene=ytfB,4436234,4436872,639,reverse
gene=yjfZ,gene=yjfZ,4434783,4435577,795,reverse
gene=rplI,gene=rplI,4434263,4434712,450,forward
gene=rpsR,gene=rpsR,4433994,4434221,228,forward
gene=priB,gene=priB,4433675,4433989,315,forward
gene=rpsF,gene=rpsF,4433273,4433668,396,forward
gene=yjfY,gene=yjfY,4432671,4432946,276,reverse
gene=ulaF,gene=ulaF,4431855,4432541,687,forward
gene=ulaE,gene=ulaE,4431001,4431855,855,forward
gene=ulaD,gene=ulaD,4430341,4430991,651,forward
gene=ulaC,gene=ulaC,4429863,4430327,465,forward
gene=ulaB,gene=ulaB,4429548,4429853,306,forward
gene=ulaA,gene=ulaA,4428135,4429532,1398,forward
gene=ulaG,gene=ulaG,4426716,4427780,1065,reverse
gene=ulaR,gene=ulaR,4425853,4426608,756,reverse
gene=yjfP,gene=yjfP,4425107,4425856,750,forward
gene=bsmA,gene=bsmA,4424596,4424925,330,reverse
gene=yjfN,gene=yjfN,4424172,4424447,276,reverse
gene=aidB,gene=aidB,4422430,4424055,1626,forward
gene=yjfC,gene=yjfC,4421183,4422346,1164,forward
gene=yjfM,gene=yjfM,4420542,4421180,639,forward
gene=yjfL,gene=yjfL,4420134,4420532,399,forward
gene=yjfK,gene=yjfK,4419457,4420116,660,forward
gene=yjfJ,gene=yjfJ,4418708,4419406,699,forward
gene=yjfI,gene=yjfI,4418288,4418689,402,forward
